"","","values"
"1","2041-01-01","21.0212971535008"
"2","2041-01-08","19.7519676201307"
"3","2041-01-15","16.2771088230545"
"4","2041-01-22","19.2831088291098"
"5","2041-01-29","19.8617799903553"
"6","2041-02-05","19.0102948682732"
"7","2041-02-12","17.2089079036291"
"8","2041-02-19","21.6099021220731"
"9","2041-02-26","20.2105985550625"
"10","2041-03-05","21.0790931378296"
"11","2041-03-12","19.614735902946"
"12","2041-03-19","22.2210939562334"
"13","2041-03-26","23.5039766171235"
"14","2041-04-02","20.0158060925589"
"15","2041-04-09","21.6039690581911"
"16","2041-04-16","21.9618286421737"
"17","2041-04-23","22.2565741599283"
"18","2041-04-30","22.7509440614657"
"19","2041-05-07","24.2322295435666"
"20","2041-05-14","24.7499541980311"
"21","2041-05-21","24.2312762654842"
"22","2041-05-28","25.0782649619224"
"23","2041-06-04","25.622715568361"
"24","2041-06-11","27.4557404995405"
"25","2041-06-18","26.5381672180353"
"26","2041-06-25","27.2403018932794"
"27","2041-07-02","27.387129681784"
"28","2041-07-09","27.402120567728"
"29","2041-07-16","27.1263493164828"
"30","2041-07-23","27.3590303820671"
"31","2041-07-30","28.0710932637093"
"32","2041-08-06","27.8465917945504"
"33","2041-08-13","28.6502892319837"
"34","2041-08-20","27.0152694560699"
"35","2041-08-27","27.3334694232842"
"36","2041-09-03","27.5842874165216"
"37","2041-09-10","28.6852328666991"
"38","2041-09-17","26.7941638300449"
"39","2041-09-24","26.6847922529172"
"40","2041-10-01","27.3343678122644"
"41","2041-10-08","24.5244193575079"
"42","2041-10-15","25.1548722257323"
"43","2041-10-22","25.5121414718191"
"44","2041-10-29","23.2904580092565"
"45","2041-11-05","19.8975872882923"
"46","2041-11-12","22.5487897381421"
"47","2041-11-19","21.6483328950619"
"48","2041-11-26","23.3222841669996"
"49","2041-12-03","24.8185050858493"
"50","2041-12-10","23.2482432487677"
"51","2041-12-17","21.3790290363068"
"52","2041-12-24","20.0171503154718"
"53","2041-12-31","20.4233492755905"
"54","2042-01-07","18.5919491738572"
"55","2042-01-14","18.984857129924"
"56","2042-01-21","21.2341374888897"
"57","2042-01-28","18.0002429710061"
"58","2042-02-04","18.5237841900335"
"59","2042-02-11","19.001500849958"
"60","2042-02-18","21.5262320870413"
"61","2042-02-25","16.4637328909904"
"62","2042-03-04","18.4610621888217"
"63","2042-03-11","19.9500461475637"
"64","2042-03-18","20.5875769095178"
"65","2042-03-25","20.9891142165929"
"66","2042-04-01","21.9845101634585"
"67","2042-04-08","23.2584212565903"
"68","2042-04-15","22.4055499046293"
"69","2042-04-22","22.6492552783785"
"70","2042-04-29","22.5012753788189"
"71","2042-05-06","23.2442212217935"
"72","2042-05-13","23.8890544747223"
"73","2042-05-20","23.5979450799473"
"74","2042-05-27","24.5614420569954"
"75","2042-06-03","24.4377466645442"
"76","2042-06-10","25.3343080616411"
"77","2042-06-17","27.358642237701"
"78","2042-06-24","27.3774854424764"
"79","2042-07-01","27.2941593044731"
"80","2042-07-08","28.0880864817007"
"81","2042-07-15","27.0965680578461"
"82","2042-07-22","27.6149513815379"
"83","2042-07-29","28.1590597712267"
"84","2042-08-05","28.1747944605158"
"85","2042-08-12","28.7307516150894"
"86","2042-08-19","29.4083508616146"
"87","2042-08-26","27.8454620872106"
"88","2042-09-02","27.6688110331032"
"89","2042-09-09","27.8510803788939"
"90","2042-09-16","27.8383001795489"
"91","2042-09-23","27.2054215490595"
