"","x"
"1",0
"2",0
"3",1
"4",0
"5",1
"6",1
"7",0
"8",0
"9",0
"10",0
"11",1
"12",1
"13",1
"14",0
"15",0
"16",0
"17",0
"18",1
"19",0
"20",0
"21",0
"22",0
"23",1
"24",1
"25",0
"26",0
"27",0
"28",0
"29",1
"30",0
"31",1
"32",0
"33",1
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",1
"44",0
"45",0
"46",0
"47",0
"48",1
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",1
"58",0
"59",1
"60",1
"61",1
"62",0
"63",0
"64",0
"65",1
"66",0
"67",0
"68",0
"69",1
"70",0
"71",0
"72",0
"73",0
"74",0
"75",1
"76",0
"77",0
"78",0
"79",1
"80",0
"81",1
"82",1
"83",1
"84",0
"85",1
"86",1
"87",0
"88",1
"89",0
"90",0
"91",0
"92",0
"93",0
"94",0
"95",0
"96",0
"97",1
"98",1
"99",0
"100",0
"101",0
"102",0
"103",0
"104",0
"105",0
"106",1
"107",0
"108",0
"109",1
"110",0
"111",0
"112",1
"113",0
"114",1
"115",0
"116",0
"117",1
"118",0
"119",0
"120",0
"121",0
"122",0
"123",1
"124",0
"125",0
"126",0
"127",1
"128",1
"129",0
"130",1
"131",0
"132",0
"133",1
"134",0
"135",0
"136",0
"137",0
"138",0
"139",0
"140",1
"141",0
"142",1
"143",1
"144",0
"145",0
"146",1
"147",0
"148",1
"149",1
"150",0
"151",0
"152",0
"153",0
"154",1
"155",0
"156",0
"157",0
"158",1
"159",1
"160",1
"161",0
"162",0
"163",0
"164",0
"165",1
"166",0
"167",0
"168",0
"169",0
"170",0
"171",1
"172",1
"173",0
"174",0
"175",1
"176",0
"177",0
"178",0
"179",0
"180",0
"181",0
"182",0
"183",0
"184",1
"185",1
"186",0
"187",0
"188",0
"189",0
"190",0
"191",0
"192",0
"193",0
"194",0
"195",0
"196",1
"197",1
"198",0
"199",0
"200",0
"201",0
"202",0
"203",0
"204",0
"205",0
"206",0
"207",1
"208",0
"209",0
"210",0
"211",0
"212",1
"213",1
"214",1
"215",0
"216",1
"217",0
"218",1
"219",0
"220",0
"221",0
"222",0
"223",1
"224",1
