WBodyID,WaterBodyName,DataSource,StationID,StationName,Actual_StationID,Actual_Latitude,Actual_Longitude,DEP_WBID,SampleDate,ActivityDepth,DepthUnits,Parameter,Characteristic,Sample_Fraction,Result_Value,Result_Unit,QACode,Result_Comment,Original_Result_Value,Original_Result_Unit
41,Hillsborough River,EPC_ROUTINE_MONITORING,152, Hillsborough River,152,28.0104999,-82.4649963,1443E,8/17/1999 11:30,1.2,m,TN_ugl,Nitrogen,,700,ug/l,C,,0.7,mg/L
41,Hillsborough River,EPC_ROUTINE_MONITORING,152, Hillsborough River,152,28.0104999,-82.4649963,1443E,9/22/1999 11:10,1.4,m,TN_ugl,Nitrogen,,880,ug/l,C,,0.88,mg/L
41,Hillsborough River,EPC_ROUTINE_MONITORING,152, Hillsborough River,152,28.0104999,-82.4649963,1443E,10/12/1999 11:10,1.1,m,TN_ugl,Nitrogen,,850,ug/l,C,,0.85,mg/L
41,Hillsborough River,EPC_ROUTINE_MONITORING,152, Hillsborough River,152,28.0104999,-82.4649963,1443E,11/16/1999 10:30,1.2,m,TN_ugl,Nitrogen,,720,ug/l,C,,0.72,mg/L
41,Hillsborough River,EPC_ROUTINE_MONITORING,152, Hillsborough River,152,28.0104999,-82.4649963,1443E,12/14/1999 10:50,1.2,m,TN_ugl,Nitrogen,,720,ug/l,C,,0.72,mg/L
41,Hillsborough River,EPC_ROUTINE_MONITORING,152, Hillsborough River,152,28.0104999,-82.4649963,1443E,1/18/2000 11:02,1.2,m,TN_ugl,Nitrogen,,830,ug/l,C,,0.83,mg/L
41,Hillsborough River,EPC_ROUTINE_MONITORING,152, Hillsborough River,152,28.0104999,-82.4649963,1443E,2/15/2000 10:25,1.5,m,TN_ugl,Nitrogen,,610,ug/l,C,,0.61,mg/L
41,Hillsborough River,EPC_ROUTINE_MONITORING,152, Hillsborough River,152,28.0104999,-82.4649963,1443E,3/14/2000 10:38,1.7,m,TN_ugl,Nitrogen,,940,ug/l,C,,0.94,mg/L
41,Hillsborough River,EPC_ROUTINE_MONITORING,152, Hillsborough River,152,28.0104999,-82.4649963,1443E,4/18/2000 10:22,1.2,m,TN_ugl,Nitrogen,,750,ug/l,C,,0.75,mg/L
41,Hillsborough River,EPC_ROUTINE_MONITORING,152, Hillsborough River,152,28.0104999,-82.4649963,1443E,5/16/2000 11:07,1.4,m,TN_ugl,Nitrogen,,1110,ug/l,C,,1.11,mg/L
41,Hillsborough River,EPC_ROUTINE_MONITORING,152, Hillsborough River,152,28.0104999,-82.4649963,1443E,6/20/2000 11:10,1.1,m,TN_ugl,Nitrogen,,1730,ug/l,C,,1.73,mg/L
41,Hillsborough River,EPC_ROUTINE_MONITORING,152, Hillsborough River,152,28.0104999,-82.4649963,1443E,7/18/2000 11:00,1.3,m,TN_ugl,Nitrogen,,1920,ug/l,C,,1.92,mg/L
41,Hillsborough River,EPC_ROUTINE_MONITORING,152, Hillsborough River,152,28.0104999,-82.4649963,1443E,8/15/2000 10:45,1.4,m,TN_ugl,Nitrogen,,1660,ug/l,C,,1.66,mg/L
41,Hillsborough River,EPC_ROUTINE_MONITORING,152, Hillsborough River,152,28.0104999,-82.4649963,1443E,9/19/2000 11:15,1.3,m,TN_ugl,Nitrogen,,1760,ug/l,C,,1.76,mg/L
41,Hillsborough River,EPC_ROUTINE_MONITORING,152, Hillsborough River,152,28.0104999,-82.4649963,1443E,10/10/2000 11:00,1.1,m,TN_ugl,Nitrogen,,1720,ug/l,C,,1.72,mg/L
41,Hillsborough River,EPC_ROUTINE_MONITORING,152, Hillsborough River,152,28.0104999,-82.4649963,1443E,11/14/2000 11:00,1.1,m,TN_ugl,Nitrogen,,1480,ug/l,C,,1.48,mg/L
