WBodyID,WaterBodyName,DataSource,StationID,StationName,Actual_StationID,Actual_Latitude,Actual_Longitude,DEP_WBID,SampleDate,ActivityDepth,DepthUnits,Parameter,Characteristic,Sample_Fraction,Result_Value,Result_Unit,QACode,Result_Comment,Original_Result_Value,Original_Result_Unit
41,Hillsborough River,EPC_ROUTINE_MONITORING,152, Hillsborough River,152,28.0104999,-82.4649963,1443E,8/17/1999 11:30,1.2,m,TP_ugl,Phosphorus as P,,220,ug/l,,,0.22,mg/L
41,Hillsborough River,EPC_ROUTINE_MONITORING,152, Hillsborough River,152,28.0104999,-82.4649963,1443E,9/22/1999 11:10,1.4,m,TP_ugl,Phosphorus as P,,230,ug/l,,,0.23,mg/L
41,Hillsborough River,EPC_ROUTINE_MONITORING,152, Hillsborough River,152,28.0104999,-82.4649963,1443E,10/12/1999 11:10,1.1,m,TP_ugl,Phosphorus as P,,160,ug/l,,,0.16,mg/L
41,Hillsborough River,EPC_ROUTINE_MONITORING,152, Hillsborough River,152,28.0104999,-82.4649963,1443E,11/16/1999 10:30,1.2,m,TP_ugl,Phosphorus as P,,180,ug/l,,,0.18,mg/L
41,Hillsborough River,EPC_ROUTINE_MONITORING,152, Hillsborough River,152,28.0104999,-82.4649963,1443E,12/14/1999 10:50,1.2,m,TP_ugl,Phosphorus as P,,140,ug/l,,,0.14,mg/L
41,Hillsborough River,EPC_ROUTINE_MONITORING,152, Hillsborough River,152,28.0104999,-82.4649963,1443E,1/18/2000 11:02,1.2,m,TP_ugl,Phosphorus as P,,110,ug/l,,,0.11,mg/L
41,Hillsborough River,EPC_ROUTINE_MONITORING,152, Hillsborough River,152,28.0104999,-82.4649963,1443E,2/15/2000 10:25,1.5,m,TP_ugl,Phosphorus as P,,120,ug/l,,,0.12,mg/L
41,Hillsborough River,EPC_ROUTINE_MONITORING,152, Hillsborough River,152,28.0104999,-82.4649963,1443E,3/14/2000 10:38,1.7,m,TP_ugl,Phosphorus as P,,230,ug/l,,,0.23,mg/L
41,Hillsborough River,EPC_ROUTINE_MONITORING,152, Hillsborough River,152,28.0104999,-82.4649963,1443E,4/18/2000 10:22,1.2,m,TP_ugl,Phosphorus as P,,180,ug/l,,,0.18,mg/L
41,Hillsborough River,EPC_ROUTINE_MONITORING,152, Hillsborough River,152,28.0104999,-82.4649963,1443E,5/16/2000 11:07,1.4,m,TP_ugl,Phosphorus as P,,240,ug/l,,,0.24,mg/L
