"","Station","Latitude","Longitude"
"1","sauf1","29.857","81.265"
"2","ktnf1","29.819","83.594"
"3","41009","28.508","80.185"
"4","41010","28.878","78.485"
"5","spgf1","26.704","78.995"
"6","fwyf1","25.591","80.097"
"7","mlrf1","25.012","80.376"
"8","lonf1","24.844","80.864"
"9","smkf1","24.628","81.109"
"10","plsf1","24.693","82.773"
"11","venf1","27.072","82.453"
"12","cdrf1","29.136","83.029"
"13","ktnf1","29.819","83.594"
"14","sgof1","29.408","84.858"
"15","42036","28.501","84.516"
"16","42039","28.788","86.008"
"17","42003","25.925","85.615"
"18","pclf1","30.404","87.211"
"19","pcbf1","30.213","85.88"
"20","pacf1","30.152","85.667"
"21","apcf1","29.724","84.98"
"22","kywf1","24.556","81.808"
"23","vcaf1","24.711","81.107"
"24","vakf1","25.731","80.162"
"25","pegf1","26.086","80.116"
"26","lkwf1","26.613","80.034"
"27","rcyf1","29.8","81.55"
"28","mypf1","30.398","81.428"
"29","frdf1","30.675","81.465"
"30","shpf1","30.058","84.291"
"31","arpf1","28.433","82.667"
"32","fhpf1","28.153","82.801"
"33","clbf1","27.736","82.686"
"34","42022","27.505","83.741"
"35","42013","27.173","82.924"
"36","42023","26.01","83.086"
"37","bgcf1","26.404","81.881"
"38","gkyf1","24.627","82.872"
"39","lmrf1","25.556","81.169"
"40","wplf1","25.71","81.249"
"41","bkyf1","25.119","80.834"
"42","dkkf1","25.18","80.49"
"43","mdkf1","25.289","80.396"
