WBodyID,WaterBodyName,DataSource,StationID,StationName,Actual_StationID,Actual_Latitude,Actual_Longitude,DEP_WBID,SampleDate,ActivityDepth,DepthUnits,Parameter,Characteristic,Sample_Fraction,Result_Value,Result_Unit,QACode,Result_Comment,Original_Result_Value,Original_Result_Unit
20007,Middle Tampa Bay,EPC_ROUTINE_MONITORING,9, Middle Tampa Bay,9,27.7865009,-82.4272003,1558C,1/14/1981 11:36,2.3,m,TN_ugl,Nitrogen,,570,ug/l,C,,0.57,mg/L
20007,Middle Tampa Bay,EPC_ROUTINE_MONITORING,9, Middle Tampa Bay,9,27.7865009,-82.4272003,1558C,2/11/1981 11:40,1.1,m,TN_ugl,Nitrogen,,750,ug/l,C,,0.75,mg/L
20007,Middle Tampa Bay,EPC_ROUTINE_MONITORING,9, Middle Tampa Bay,9,27.7865009,-82.4272003,1558C,3/11/1981 10:55,1.4,m,TN_ugl,Nitrogen,,800,ug/l,C,,0.8,mg/L
20007,Middle Tampa Bay,EPC_ROUTINE_MONITORING,9, Middle Tampa Bay,9,27.7865009,-82.4272003,1558C,4/22/1981 12:05,2.3,m,TN_ugl,Nitrogen,,600,ug/l,C,,0.6,mg/L
20007,Middle Tampa Bay,EPC_ROUTINE_MONITORING,9, Middle Tampa Bay,9,27.7865009,-82.4272003,1558C,5/20/1981 12:15,2.1,m,TN_ugl,Nitrogen,,1030,ug/l,C,,1.03,mg/L
20007,Middle Tampa Bay,EPC_ROUTINE_MONITORING,9, Middle Tampa Bay,9,27.7865009,-82.4272003,1558C,6/17/1981 11:35,1.8,m,TN_ugl,Nitrogen,,1150,ug/l,C,,1.15,mg/L
20007,Middle Tampa Bay,EPC_ROUTINE_MONITORING,9, Middle Tampa Bay,9,27.7865009,-82.4272003,1558C,7/15/1981 10:55,2.4,m,TN_ugl,Nitrogen,,890,ug/l,C,,0.89,mg/L
20007,Middle Tampa Bay,EPC_ROUTINE_MONITORING,9, Middle Tampa Bay,9,27.7865009,-82.4272003,1558C,8/12/1981 11:10,2.3,m,TN_ugl,Nitrogen,,1020,ug/l,C,,1.02,mg/L
20007,Middle Tampa Bay,EPC_ROUTINE_MONITORING,9, Middle Tampa Bay,9,27.7865009,-82.4272003,1558C,9/9/1981 12:30,2,m,TN_ugl,Nitrogen,,1080,ug/l,C,,1.08,mg/L
20007,Middle Tampa Bay,EPC_ROUTINE_MONITORING,9, Middle Tampa Bay,9,27.7865009,-82.4272003,1558C,10/7/1981 11:35,2.6,m,TN_ugl,Nitrogen,,970,ug/l,C,,0.97,mg/L
20007,Middle Tampa Bay,EPC_ROUTINE_MONITORING,9, Middle Tampa Bay,9,27.7865009,-82.4272003,1558C,10/28/1981 11:10,1.7,m,TN_ugl,Nitrogen,,930,ug/l,C,,0.93,mg/L
20007,Middle Tampa Bay,EPC_ROUTINE_MONITORING,9, Middle Tampa Bay,9,27.7865009,-82.4272003,1558C,12/2/1981 12:15,2.1,m,TN_ugl,Nitrogen,,580,ug/l,C,,0.58,mg/L
