,site_no,lat,lon
1,2228500,30.51773125,-82.2303954
2,2229000,30.43634185,-82.2873402
3,2229250,30.4327323,-82.23095
4,2229500,30.20495758,-82.263448
5,2230000,30.26912537,-82.12233459
6,2230500,30.27801376,-82.1442797
7,2231000,30.35884726,-82.0815013
8,2231250,30.73217876,-81.8928886
9,2231253,30.74162374,-81.687881
10,22312672,NA,NA
11,2231268,30.56662513,-81.8334401
12,2231280,30.4610707,-81.8323275
13,2231289,30.57468167,-81.608708
14,2231291,30.5507931,-81.5898179
15,2231322,27.59294167,-80.6781444
16,2231342,27.5686473,-80.7961709
17,2231396,27.72808533,-80.80505949
18,2231454,27.86666667,-80.805
19,2231458,27.89416667,-80.82138889
20,2231565,28.13029378,-81.001729
21,2231600,28.074462,-80.8881155
22,2232000,28.08473879,-80.752001
23,2232155,28.18195808,-80.8953373
24,2232200,28.2130681,-80.91089309
25,2232400,28.36972837,-80.8725578
26,2232413,28.34000764,-80.9347819
27,2232415,28.3525071,-80.9283928
28,2232460,28.45972509,-80.946726
29,2232500,28.54305529,-80.943392
30,2233001,28.42444965,-81.119231
31,2233102,28.56555599,-81.1883985
32,2233104,28.58305556,-81.1686111
33,2233200,28.5250021,-81.243956
34,2233460,28.57416667,-81.27
35,2233473,28.5972218,-81.2256215
36,2233475,28.6199987,-81.20784299
37,2233484,28.65555285,-81.169786
38,2233500,28.67777778,-81.1141667
39,2234000,28.7141611,-81.0353374
40,2234010,28.793881,-81.05783718
41,2234100,28.8461018,-81.079226
42,2234180,28.84582408,-81.10144869
43,2234263,28.5850004,-81.3531245
44,2234287,28.616666,-81.3653468
45,2234308,28.6324987,-81.32312349
46,2234324,28.64777587,-81.2645109
47,2234344,28.68999664,-81.2475656
48,2234365,28.7494392,-81.3356229
49,2234367,28.7380507,-81.3228449
50,2234384,28.71888466,-81.308678
51,2234400,28.7041629,-81.2906221
52,2234432,28.71055556,-81.2386111
53,2234435,28.78415969,-81.18117379
54,2234440,28.8024925,-81.2092297
55,2234500,28.83804694,-81.3242323
56,2234600,28.71221844,-81.45979299
57,2234610,28.75582805,-81.4992382
58,2234635,28.71360726,-81.4453482
59,2234815,28.6030555,-81.427015
60,2234990,28.6872192,-81.3970138
61,2234998,28.7036075,-81.3920135
62,22349993,NA,NA
63,2235000,28.81527009,-81.41923539
64,2235200,28.87444444,-81.4897222
65,2235400,28.90055556,-81.3583333
66,2235495,28.93943195,-81.3447869
67,2235500,28.944154,-81.3397866
68,2236000,29.00831827,-81.3825651
69,2236122,29.11359314,-81.4361789
70,2236125,29.16692445,-81.5220157
71,2236157,29.27831069,-81.4764593
72,2236160,29.24469863,-81.6425767
73,2236300,28.2555678,-81.6753534
74,2236350,28.3111212,-81.6853534
75,2236500,28.44778229,-81.74007599
76,2236600,28.430838,-81.7950768
77,2236605,28.4486152,-81.7814655
78,2236700,28.46111497,-81.7570206
79,2236900,28.59277586,-81.8222998
80,2237000,28.6158301,-81.8645229
81,2237293,28.7444364,-81.8725798
82,2237522,28.81165724,-81.7709109
83,2237698,28.66638527,-81.705909
84,2237700,28.72249444,-81.6847976
85,2237733,28.80638079,-81.614796
86,2237734,28.79665898,-81.60785149
87,2238000,28.87082178,-81.7836894
88,2238500,29.0811111,-81.8808333
89,2238800,29.00387145,-81.9209166
90,2239000,29.18331078,-81.9923091
91,2239500,29.21247638,-82.05397819
92,2239501,29.2149764,-82.0412
93,2239510,29.21136564,-81.9906426
94,2239600,29.21942074,-82.0425889
95,2240000,29.21469888,-81.9859203
96,2240500,29.37166667,-81.9019444
97,2240783,29.72302278,-82.2151018
98,2240806,29.69830074,-82.2798254
99,2240902,29.61163537,-82.2487121
100,22409424,NA,NA
101,2240954,29.63830073,-82.3923282
102,2240976,29.63413448,-82.3395487
103,2240982,29.61635695,-82.33538159
104,2240988,29.63024576,-82.322048
105,2241000,29.57608027,-82.24982278
106,2241900,29.60024669,-82.14482
107,2242451,29.44191603,-82.1087047
108,2242460,29.45830477,-82.0609253
109,2242500,29.48830407,-82.1017604
110,2243000,29.50969267,-81.9461999
111,2243300,29.5413588,-81.9531456
112,2243500,29.5038593,-81.9117542
113,2243609,29.57024708,-81.8778663
114,2243800,29.54135854,-81.83647529
115,2243960,29.50833333,-81.8041667
116,2244000,29.49469247,-81.79980639
117,2244005,29.48358157,-81.73313759
118,2244032,29.5453361,-81.7289722
119,2244040,29.5963582,-81.683138
120,2244300,29.3063675,-81.2692295
121,2244320,29.35997707,-81.3114538
122,2244333,29.39469798,-81.3711787
123,2244420,29.32194444,-81.3852778
124,2244440,29.57774783,-81.626191
125,2244450,29.59635886,-81.6078574
126,2244473,29.68830093,-81.7420312
127,2244601,29.8382982,-82.0092677
128,2244651,29.81746526,-82.022323
129,2244690,29.80913209,-82.0331564
130,2245000,29.7358001,-81.8628706
131,2245050,29.7169118,-81.7250868
132,2245140,29.7355228,-81.70980879
133,2245255,29.68135917,-81.448686
134,2245260,29.72338056,-81.4843667
135,2245280,29.7752468,-81.4525768
136,2245290,29.8,-81.55
137,2245315,29.9096893,-81.49230329
138,2245328,29.95968819,-81.5434176
139,2245340,30.0059222,-81.6151361
140,2245400,29.94274126,-81.897599
141,2245500,29.9794075,-81.8520426
142,2245800,30.11357285,-81.9831613
143,2245913,30.20773934,-81.8906591
144,2245918,30.2432947,-81.8953821
145,2245922,30.2182948,-81.8981596
146,2245924,30.21107263,-81.898715
147,2245925,30.21107263,-81.8989929
148,2245927,30.20829487,-81.897326
149,2246000,30.1132953,-81.9064915
150,2246025,30.0825,-81.8094444
151,2246030,30.1171845,-81.8078765
152,2246100,30.18885244,-81.5623115
153,2246108,30.16718598,-81.5611999
154,2246150,30.15163087,-81.5261981
155,2246160,30.14333056,-81.5559
156,22462002,NA,NA
157,2246202,30.14913,-81.6284248
158,2246215,30.1332957,-81.7559301
159,2246300,30.2474616,-81.7967668
160,2246318,30.19635087,-81.7684315
161,2246359,30.31412785,-81.75343279
162,2246459,30.28218375,-81.7403761
163,2246500,30.3224616,-81.6653735
164,2246515,30.2644071,-81.5900917
165,2246518,30.28696944,-81.57
166,2246520,30.32412886,-81.5664804
167,2246522,30.34468408,-81.5892594
168,2246599,30.40718226,-81.84232699
169,2246621,30.41746058,-81.69648758
170,2246751,30.44333889,-81.6682
171,2246804,30.45494167,-81.59688889
172,2246825,30.44838056,-81.5182611
173,2246828,30.23551927,-81.4781421
174,2246832,30.2441303,-81.4736976
175,2246850,30.159132,-81.36008009
176,2246895,29.892191,-81.3225729
177,2246900,29.847469,-81.3606294
178,2247000,29.82802493,-81.3489619
179,2247012,29.86246897,-81.3450734
180,2247015,29.82163638,-81.3225716
181,2247027,29.7746926,-81.31618159
182,2247222,29.66941676,-81.2595108
183,2247258,29.49747479,-81.1895059
184,2247465,29.16664884,-81.1053354
185,2247480,29.16637094,-81.154781
186,2247493,29.18387069,-81.0936684
187,2247496,29.17887074,-81.1203357
188,2247498,29.19887033,-81.0956128
189,2247499,29.20942564,-81.0986684
190,2247500,29.20998117,-81.1053353
191,2247508,29.21803653,-81.1086687
192,2247509,29.24581375,-81.0414445
193,2247510,29.21748099,-81.1086687
194,2247598,29.3408117,-81.08616829
195,2248000,29.05081845,-81.0464455
196,2248025,29.15859376,-80.9992216
197,2248030,29.115817,-80.9872772
198,2248037,29.12526116,-81.0289447
199,2248040,29.1152614,-81.0242225
200,2248053,29.07276253,-80.9900553
201,2248060,29.0510963,-80.9594991
202,2248350,28.82106816,-80.8597897
203,2248357,28.7911022,-80.8567203
204,2248365,28.7553611,-80.8461111
205,2248380,28.73638079,-80.754773
206,2248510,28.53916568,-80.7931097
207,2248600,28.36875277,-80.7372679
208,2248650,28.3064107,-80.7066927
209,2248660,28.30307195,-80.70451209
210,2248900,28.16140209,-80.6553314
211,2249000,28.13251428,-80.6550539
212,2249007,28.12695888,-80.6467205
213,2249500,28.07946057,-80.6294983
214,2249518,28.07723829,-80.6022755
215,2249950,28.01335236,-80.7247788
216,2249970,27.99918616,-80.7128342
217,2249990,28.03529575,-80.6711664
218,2250000,28.01307414,-80.62199889
219,2250005,28.01307407,-80.6053319
220,2250030,28.01724054,-80.59588719
221,2250500,27.96724239,-80.5656091
222,2250600,27.96002037,-80.5422754
223,2250700,27.9372435,-80.5350531
224,2251000,27.76947258,-80.5058868
225,2251500,27.85613569,-80.52422
226,2251765,27.82197049,-80.6072774
227,2251767,27.83058119,-80.5342203
228,2252500,27.69308613,-80.42005169
229,2253000,27.64780983,-80.405607
230,2253500,27.6044779,-80.386579
231,2253800,27.20560356,-80.193657
232,2255600,27.20921499,-81.4614637
233,2256000,27.06616477,-81.430908
234,2256500,26.9325585,-81.3147949
235,2257000,26.96255665,-81.11784588
236,2257030,26.9783892,-81.089234
237,2257790,27.0389222,-81.0714972
238,2258000,27.02449846,-81.069789
239,2259000,27.10032883,-81.0120098
240,2259100,27.0964472,-81.0091722
241,2259200,27.09338463,-81.0067319
242,2259500,27.06616336,-80.9864537
243,2259627,27.12199467,-80.8953402
244,2261500,28.33973105,-81.173955
245,2262900,28.37139699,-81.3106247
246,2263130,28.3319542,-81.5409065
247,2263500,28.26584547,-81.3103472
248,2263692,28.47194903,-81.42923779
249,2263800,28.3041775,-81.450905
250,2263851,28.41361778,-81.55729559
251,2263869,28.41278456,-81.5378509
252,2264000,28.39056323,-81.5195173
253,2264003,28.38945214,-81.5250729
254,2264030,28.3805,-81.5069722
255,2264051,28.37444444,-81.515
256,2264060,28.37111947,-81.5289619
257,2264100,28.32528785,-81.5206284
258,2264140,28.30806625,-81.5245174
259,2264495,28.26723444,-81.4478495
260,2265000,28.13973824,-81.3514594
261,2266000,28.07307337,-81.2606245
262,2266025,28.4052845,-81.61146309
263,2266200,28.38500749,-81.6164632
264,2266205,28.39306276,-81.6109075
265,2266291,28.42694444,-81.6052778
266,2266293,28.39472948,-81.5844349
267,22662947,NA,NA
268,2266295,28.36639716,-81.5984074
269,2266298,28.3486201,-81.5811849
270,2266300,28.33278738,-81.579796
271,2266320,28.298622,-81.5775738
272,2266480,28.271123,-81.5909074
273,2266495,28.27584517,-81.5439622
274,2266496,28.27584517,-81.54368439
275,2266500,28.2636234,-81.536462
276,2266700,28.17557077,-81.5981304
277,2267000,27.96141068,-81.49646319
278,2267500,28.00029798,-81.3803494
279,2268390,27.81141547,-81.4436846
280,2268903,27.8041929,-81.1978457
281,2269000,27.77058296,-81.1789565
282,2269160,27.43253863,-81.13951178
283,2269500,27.72058526,-81.4775744
284,2269520,27.708641,-81.4464626
285,2270000,27.53225706,-81.3875724
286,2270500,27.4425375,-81.2972928
287,2270805,27.26782336,-81.3867396
288,2271000,27.323099,-81.4189625
289,2271500,27.3742078,-81.3934062
290,2272000,27.39920639,-81.16229
291,2272500,27.36476398,-81.0517323
292,2272502,27.3625,-81.0508333
293,2272650,27.46531709,-80.9220072
294,2272676,27.38031945,-80.97589739
295,2273000,27.22587987,-80.96256389
296,2273198,27.33083333,-81.2533333
297,2273200,27.33226418,-81.2511809
298,2273230,27.21393588,-81.201458
299,2273300,27.21560245,-80.981731
300,2273630,27.24393485,-80.8964511
301,2274000,27.39448596,-80.89534
302,2274005,27.37754217,-80.8453388
303,2274010,27.3653202,-80.8725617
304,2274325,27.31638889,-80.8383333
305,2274490,27.3047665,-80.8189493
306,2274495,27.2961556,-80.8261717
307,2274500,27.28448929,-80.8220049
308,2274505,27.28087828,-80.8239494
309,2275000,27.25171243,-80.8242271
310,2275197,27.2372685,-80.780615
311,2275503,27.20666667,-80.7980556
312,2275606,27.19393666,-80.7611701
313,2275625,27.20560294,-80.7428363
314,2275631,27.19310335,-80.7295027
315,2275705,27.1625488,-80.717558
316,2276568,27.30365524,-80.3072717
317,2276575,27.27421184,-80.3211609
318,2276870,26.98488816,-80.6208892
319,2276877,26.985777,-80.6153891
320,2276998,27.10866667,-80.28725
321,2277000,27.11116205,-80.2847703
322,2277100,27.20227,-80.2586592
323,2277110,27.19977036,-80.206713
324,2277600,26.93922405,-80.1750444
325,2277700,26.93422439,-80.1417101
326,2277900,26.75034127,-80.1089317
327,2278000,26.8642256,-80.631723
328,2278450,26.68506528,-80.3706056
329,2278500,26.68367645,-80.3692167
330,2278550,26.68506533,-80.3594943
331,2278600,26.6850653,-80.363661
332,2279000,26.64478938,-80.0586527
333,2280500,26.70034336,-80.712281
334,2281200,26.4720184,-80.4458857
335,2281300,26.3559112,-80.2992158
336,2281400,26.33035644,-80.2122691
337,2281490,26.3278564,-80.1336556
338,2281500,26.3278564,-80.1308777
339,2282000,26.23119327,-80.1242112
340,2282100,26.20591644,-80.132267
341,2282700,26.17313998,-80.17949079
