WBodyID,WaterBodyName,DataSource,StationID,StationName,Actual_StationID,Actual_Latitude,Actual_Longitude,DEP_WBID,SampleDate,ActivityDepth,DepthUnits,Parameter,Characteristic,Sample_Fraction,Result_Value,Result_Unit,QACode,Result_Comment,Original_Result_Value,Original_Result_Unit
181980,Withlacoochee River,POLKCO_NRD_WQ,WITHLACOO RVR1, Under Bridge On Sr471 3Mile N Of Hw98N,Withlacoo Rvr1,28.3126111,-82.0558333,1329F,7/14/1997 0:00,0.5,m,TN_ugl,Nitrogen,,2330,ug/l,,,2.33,mg/L
181980,Withlacoochee River,POLKCO_NRD_WQ,WITHLACOO RVR1, Under Bridge On Sr471 3Mile N Of Hw98N,Withlacoo Rvr1,28.3126111,-82.0558333,1329F,5/6/1998 0:00,0.5,m,TN_ugl,Nitrogen,,1460,ug/l,,,1.46,mg/L
181980,Withlacoochee River,POLKCO_NRD_WQ,WITHLACOO RVR1, Under Bridge On Sr471 3Mile N Of Hw98N,Withlacoo Rvr1,28.3126111,-82.0558333,1329F,11/5/1998 0:00,0.5,m,TN_ugl,Nitrogen,,2400,ug/l,,,2.4,mg/L
181980,Withlacoochee River,POLKCO_NRD_WQ,WITHLACOO RVR1, Under Bridge On Sr471 3Mile N Of Hw98N,Withlacoo Rvr1,28.3126111,-82.0558333,1329F,5/4/1999 0:00,0.5,m,TN_ugl,Nitrogen,,520,ug/l,,,0.52,mg/L
181980,Withlacoochee River,POLKCO_NRD_WQ,WITHLACOO RVR1, Under Bridge On Sr471 3Mile N Of Hw98N,Withlacoo Rvr1,28.3126111,-82.0558333,1329F,11/9/1999 0:00,0.5,m,TN_ugl,Nitrogen,,1711,ug/l,,,1.711,mg/L
181980,Withlacoochee River,POLKCO_NRD_WQ,WITHLACOO RVR1, Under Bridge On Sr471 3Mile N Of Hw98N,Withlacoo Rvr1,28.3126111,-82.0558333,1329F,11/2/2001 0:00,0.5,m,TN_ugl,Nitrogen,,2520,ug/l,,,2.52,mg/L
181980,Withlacoochee River,POLKCO_NRD_WQ,WITHLACOO RVR1, Under Bridge On Sr471 3Mile N Of Hw98N,Withlacoo Rvr1,28.3126111,-82.0558333,1329F,11/5/2002 0:00,0.5,m,TN_ugl,Nitrogen,,2240,ug/l,,,2.24,mg/L
181980,Withlacoochee River,POLKCO_NRD_WQ,WITHLACOO RVR1, Under Bridge On Sr471 3Mile N Of Hw98N,Withlacoo Rvr1,28.3126111,-82.0558333,1329F,5/6/2003 0:00,0.5,m,TN_ugl,Nitrogen,,1620,ug/l,,,1.62,mg/L
181980,Withlacoochee River,POLKCO_NRD_WQ,WITHLACOO RVR1, Under Bridge On Sr471 3Mile N Of Hw98N,Withlacoo Rvr1,28.3126111,-82.0558333,1329F,11/4/2003 0:00,0.5,m,TN_ugl,Nitrogen,,1730,ug/l,,,1.73,mg/L
181980,Withlacoochee River,POLKCO_NRD_WQ,WITHLACOO RVR1, Under Bridge On Sr471 3Mile N Of Hw98N,Withlacoo Rvr1,28.3126111,-82.0558333,1329F,5/12/2004 0:00,0.5,m,TN_ugl,Nitrogen,,1639,ug/l,,,1.639,mg/L
181980,Withlacoochee River,POLKCO_NRD_WQ,WITHLACOO RVR1, Under Bridge On Sr471 3Mile N Of Hw98N,Withlacoo Rvr1,28.3126111,-82.0558333,1329F,11/1/2004 0:00,0.5,m,TN_ugl,Nitrogen,,1990,ug/l,,,1.99,mg/L
181980,Withlacoochee River,POLKCO_NRD_WQ,WITHLACOO RVR1, Under Bridge On Sr471 3Mile N Of Hw98N,Withlacoo Rvr1,28.3126111,-82.0558333,1329F,2/14/2005 0:00,0.5,m,TN_ugl,Nitrogen,,1300,ug/l,,,1.3,mg/L
181980,Withlacoochee River,POLKCO_NRD_WQ,WITHLACOO RVR1, Under Bridge On Sr471 3Mile N Of Hw98N,Withlacoo Rvr1,28.3126111,-82.0558333,1329F,5/9/2005 0:00,0.5,m,TN_ugl,Nitrogen,,1350,ug/l,,,1.35,mg/L
181980,Withlacoochee River,POLKCO_NRD_WQ,WITHLACOO RVR1, Under Bridge On Sr471 3Mile N Of Hw98N,Withlacoo Rvr1,28.3126111,-82.0558333,1329F,8/17/2005 0:00,0.5,m,TN_ugl,Nitrogen,,1590,ug/l,,,1.59,mg/L
181980,Withlacoochee River,POLKCO_NRD_WQ,WITHLACOO RVR1, Under Bridge On Sr471 3Mile N Of Hw98N,Withlacoo Rvr1,28.3126111,-82.0558333,1329F,11/3/2005 0:00,0.5,m,TN_ugl,Nitrogen,,1410,ug/l,,,1.41,mg/L
181980,Withlacoochee River,POLKCO_NRD_WQ,WITHLACOO RVR1, Under Bridge On Sr471 3Mile N Of Hw98N,Withlacoo Rvr1,28.3126111,-82.0558333,1329F,2/13/2006 0:00,0.5,m,TN_ugl,Nitrogen,,1050,ug/l,,,1.05,mg/L
181980,Withlacoochee River,POLKCO_NRD_WQ,WITHLACOO RVR1, Under Bridge On Sr471 3Mile N Of Hw98N,Withlacoo Rvr1,28.3126111,-82.0558333,1329F,11/20/2007 0:00,0.5,m,TN_ugl,Nitrogen,,2900,ug/l,,,2.9,mg/L
181980,Withlacoochee River,POLKCO_NRD_WQ,WITHLACOO RVR1, Under Bridge On Sr471 3Mile N Of Hw98N,Withlacoo Rvr1,28.3126111,-82.0558333,1329F,2/18/2008 0:00,0.5,m,TN_ugl,Nitrogen,,1690,ug/l,,,1.69,mg/L
181980,Withlacoochee River,POLKCO_NRD_WQ,WITHLACOO RVR1, Under Bridge On Sr471 3Mile N Of Hw98N,Withlacoo Rvr1,28.3126111,-82.0558333,1329F,6/8/2009 0:00,0.5,m,TN_ugl,Nitrogen,,2690,ug/l,,,2.69,mg/L
181980,Withlacoochee River,POLKCO_NRD_WQ,WITHLACOO RVR1, Under Bridge On Sr471 3Mile N Of Hw98N,Withlacoo Rvr1,28.3126111,-82.0558333,1329F,9/23/2009 0:00,0.5,m,TN_ugl,Nitrogen,,2200,ug/l,,,2.2,mg/L
181980,Withlacoochee River,POLKCO_NRD_WQ,WITHLACOO RVR1, Under Bridge On Sr471 3Mile N Of Hw98N,Withlacoo Rvr1,28.3126111,-82.0558333,1329F,2/16/2011 0:00,0.5,m,TN_ugl,Nitrogen,,1430,ug/l,,,1.43,mg/L
181980,Withlacoochee River,POLKCO_NRD_WQ,WITHLACOO RVR1, Under Bridge On Sr471 3Mile N Of Hw98N,Withlacoo Rvr1,28.3126111,-82.0558333,1329F,5/4/2011 0:00,0.5,m,TN_ugl,Nitrogen,,2150,ug/l,,,2.15,mg/L
181980,Withlacoochee River,POLKCO_NRD_WQ,WITHLACOO RVR1, Under Bridge On Sr471 3Mile N Of Hw98N,Withlacoo Rvr1,28.3126111,-82.0558333,1329F,8/22/2011 0:00,0.5,m,TN_ugl,Nitrogen,,1570,ug/l,,,1.57,mg/L
181980,Withlacoochee River,POLKCO_NRD_WQ,WITHLACOO RVR1, Under Bridge On Sr471 3Mile N Of Hw98N,Withlacoo Rvr1,28.3126111,-82.0558333,1329F,11/2/2011 0:00,0.5,m,TN_ugl,Nitrogen,,1930,ug/l,,,1.93,mg/L
