agency_cd	site_no	station_nm
USGS	02228500	NORTH PRONG ST. MARYS RIVER AT MONIAC, GA
USGS	02229000	MIDDLE PRONG ST MARYS RIVER AT TAYLOR, FL
USGS	02229250	MIDDLE PRONG ST. MARYS RIVER NEAR TAYLOR, FL
USGS	02229500	SOUTH PRONG ST. MARYS RIVER NR SANDERSON, FLA.
USGS	02230000	TURKEY CREEK AT MACCLENNY, FLA.
USGS	02230500	SOUTH PRONG ST. MARYS RIVER AT GLEN ST. MARY, FL
USGS	02231000	ST. MARYS RIVER NEAR MACCLENNY, FL
USGS	02231250	LITTLE ST. MARYS RIVER NR HILLIARD, FLA.
USGS	02231253	ST. MARYS RIVER NEAR GROSS, FLA.
USGS	022312672	MILLS CREEK NR ITALIA,FL
USGS	02231268	ALLIGATOR CREEK AT CALLAHAN, FL
USGS	02231280	THOMAS CREEK NEAR CRAWFORD, FL
USGS	02231289	NASSAU RIVER NEAR HEDGES, FL
USGS	02231291	NASSAU RIVER NEAR TISONIA, FL
USGS	02231322	S-253 WEIR NEAR FORT DRUM, FL
USGS	02231342	FT DRUM CREEK AT SUNSHINE ST PKY NEAR FT DRUM, FL
USGS	02231396	BLUE CYPRESS CREEK NEAR FELLSMERE, FL
USGS	02231454	SIXMILE CREEK NEAR KENANSVILLE, FL
USGS	02231458	WOLF CREEK NEAR KENANSVILLE, FL
USGS	02231565	CRABGRASS CREEK NEAR HOLOPAW, FL
USGS	02231600	JANE GREEN CREEK NEAR DEER PARK, FL
USGS	02232000	ST. JOHNS RIVER NEAR MELBOURNE, FL
USGS	02232155	PENNYWASH CREEK NEAR DEER PARK, FL
USGS	02232200	WOLF CREEK NEAR DEER PARK, FL
USGS	02232400	ST. JOHNS RIVER NEAR COCOA, FL
USGS	02232413	TAYLOR CREEK ABOVE S-164 NR COCOA, FLA.
USGS	02232415	TAYLOR CREEK NEAR COCOA, FL
USGS	02232460	JIM CREEK AT FISH HOLE ROAD NEAR CHRISTMAS, FL
USGS	02232500	ST. JOHNS RIVER NEAR CHRISTMAS, FL
USGS	02233001	ECONLOCKHATCHEE R AT MAGNOLIA RANCH NR BITHLO FL
USGS	02233102	ECONLOCKHATCHEE RIVER TRIB. NR BITHLO, FLA.
USGS	02233104	ECONLOCKHATCHEE RIVER AT HWY 420 NR BITHLO
