eventName,eventYear,region,originalGridCode,monitoringProgramme,programmeName,occurredBefore,occurredBeforeText,waterDiscoloration,highPhyto,seafoodToxin,massMortal,foamMucil,otherEffect,otherEffectText,days,months,locationText,latitude,longitude,additionalLocationInfo,eventDate,initialDate,finalDate,quarantineStartDate,quarantineEndDate,additionalDateInfo,causativeKnown,pigmentAnalysisInfo,additionalAlgaeInfo,toxicityDetected,toxicityRange,humansAffected,fishAffected,naturalFishAffected,aquacultureFishAffected,planktonicAffected,benthicAffected,shellfishAffected,birdsAffected,otherTerrestrialAffected,aquaticMammalsAffected,seaweedAffected,effectsComments,unexplainedToxicity,toxicityComments,transvectors,eventBiblio,syndromeText,active,created_at,updated_at,checked_at,countryName,syndromeName,speciesContaining,additionalHarmfulEffectInfo,toxinAssayComments,assaytype,concentration,toxinType,toxin,causativeSpeciesName0,cellsPerLitre0,comments0,additionalSpeciesName0,additionalCellsPerLitre0,additionalComments0,causativeSpeciesName1,cellsPerLitre1,comments1,causativeSpeciesName2,cellsPerLitre2,comments2,causativeSpeciesName3,cellsPerLitre3,comments3,additionalSpeciesName1,additionalCellsPerLitre1,additionalComments1,additionalSpeciesName2,additionalCellsPerLitre2,additionalComments2
UY-01-002,2001,Maldonado,,1,National Monitoring Program of Hamful Phytoplanjton and Shellfish Toxicity,0,,0,0,1,0,0,0,,0,0,Punta del Este,,,,12/10/2001,12/10/2001,12/10/2001,,,,1,,,1,<20ugda/G,0,0,0,0,0,0,0,0,0,0,0,,NULL,,,"Medina,D., Méndez, S.M., Inocente,G., Ferrari,G., Salhi, M., Giudice,H., Méndez, E., Odizzio, M., Otero, M. D., 2003. Shellfish monitoring programme in Uruguay. In: Molluscan Shellefish Safety. A.Villalba, B. Reguera, J.L. Romalde y R. Beiras (Eds). Consellería de Pesca e Asuntos Maritimos da Xunta de Galicia and Oceanographic Commission of UNESCO.p. 197-202.",,,12/20/2013 4:42,,,URUGUAY,ASP,,,,,,,,Pseudo-nitzschia multiseries (Hasle) Hasle 1995,1200,,,,,,,,,,,,,,,,,,,
US-98-022,1998,Washington.,US-23,1,,1,October - December 1991.,0,0,1,0,0,0,,0,4,Kalaloch.,,,On the Washington State Pacific coast.,,9/1/1998,12/31/1998,,,"September through December, at least.",1,,"Presumed to be Pseudo-nitzschia, but not known for sure.  Some cells of P. pungens, P. fraudulenta, P. australis and cf. P. pseudodelicatissima identified in beach samples collected at this site in September and October, with relatively high concentratio",1,295 ppm DA.,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,UNITED STATES,ASP,Silicua spatula (November),,,,LC-UV,295 ppm,Domoic Acid,Pseudo-nitzschia spp.,,Presumed.,,,,,,,,,,,,,,,,,,
US-98-019,1998,California.,US-20,1,,1,1991,0,0,1,0,0,0,,0,1,Monterey Bay and San Luis Obispo in Central C,,,,5/12/1998,4/30/1998,,,,Pseudo-nitzschia observed April 30; DA detected May 12.,1,,,1,,0,1,0,0,0,0,0,0,0,1,0,,0,,,,,,,,,UNITED STATES,ASP,,,,,,,,Pseudo-nitzschia sp.,,,,,,,,,,,,,,,,,,,,
US-95-011,1995,Oregon.,US-22,1,,0,,0,0,1,0,0,0,,0,2,Clatsop Beaches.,,,Oregon coast from Tillamook Head near Seaside to the Columbia River. This area is called the Clatsop Beaches.,,,,,,Toxicity in razor clams began 11/95 when domoic acid levels exceeded 5 ppm for the first time since 4/94.,0,,,1,8.6 ppm DA  to 21.6 ppm. In late January 1996.,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,UNITED STATES,ASP,Razor clams,,,"Toxicity in razor clams egan 11/95 when domoic acid levels exceeded 5 ppm for the first time since 4/94. Levels were 8.6 ppm by 12/20/95. (By 19/01/96 DA levels increased to 17.2, and by 31/01/96 to 21.6 ppm. Domoic acid was not seen in mussels from this area.",LC-UV,8.6,Domoic Acid,,,,,,,,,,,,,,,,,,,,,
US-94-023,1994,Washington.,US-24,0,,0,"Not previously known for the area, but few samples collected there.",0,0,1,0,0,0,,0,0,Southern Hood Canal.,,,,,,,,,November-December.,0,,,1,10 µg/g DA.,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,UNITED STATES,ASP,Mussels,,,"Domoic acid levels in phytoplankton sampls collected from the area on 29 November 1994 ranged from < 1 to about 15 µg/ml sample (DA analyses by National Marine Fisheries Service, Seattle)",LC-UV,10 µg/g,Domoic Acid,Pseudo-nitzschia pungens f. multiseries,,,,,,,,,,,,,,,,,,,,
US-94-019,1994,Oregon.,US-22,1,,1,The last Oregon domoic acid alert began on the northern beaches in November in razor clams and continued to exceed 5 ppm until July 1992.,0,0,1,0,0,0,,0,0,Clatsop Beaches.,,,Oregon coast from Cape Lookout near Netarts to the Columbia River (approximately 44.4-46.7º N). This area is called the Clatsop Beaches.,,,,,,"Toxicity in razor clams began in November 1993 when domoic acid levels increased to 10 ppm. This was the first time levels exceeded 6ppm since November 1992. Mussels were 1 ppm, the first time detected since November 1992. DA levels rose to 24 ppm in January and declined to less than 4 ppm bya April. Levels less than 5 ppm in bimonthly sampling for the rest of 1994.",0,,Not confirmed.,1,24 ppm DA.,0,0,0,0,0,0,0,0,0,0,0,No human illnesses confirmed.,0,,,,,,,,,UNITED STATES,ASP,Razor clams (rest 1994),The razor clam fishery was already closed.,The razor clam fishery was already closed.,,LC-UV,5 ppm,Domoic Acid,,,,,,,,,,,,,,,,,,,,,
US-93-013,1993,Oregon.,US-22,1,,1,The last Oregon domoic acid alert began on the northern beaches in November 1991 in razor clams and continued to exceed 5 ppm until July 1992.,0,0,1,0,0,0,,0,2,Clatsop Beaches.,,,Oregon coast From Cape Lookout near Netarts to the Columbia River. This area is called the Clatsop Beaches.,,,,,,Domoic acid levels in razor clams increased to 10 ppm in November 1993. Levels were 16 ppm in late December 1993.  Mussels tester at 1 ppm in November.,0,,Not known.,1,16 ppm DA.,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,UNITED STATES,ASP,Mussels,The razor clam fishery was already closed because of PSP.,The razor clam fishery was already closed because of PSP.,,LC-UV,1 ppm,Domoic Acid,,,,,,,,,,,,,,,,,,,,,
US-93-010,1993,Washington.,US-23,1,,1,October 1991 - June 1992.,0,0,1,0,0,0,,0,9,,,,Domoic acid occurred in razor clams on Pacific coast beaches.,,,,,,April-December.,0,,"Unknown, but Pseudonitzschia pungens, P. australis, and P. pseudodelicatissima were found in coastal water in November.",1,23 ppmDA edible tissue of razor clams.,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,UNITED STATES,ASP,Razor clams (edible tissue),"Toxicity in Pacific razor clams, Siliqua patula.","Toxicity in Pacific razor clams, Siliqua patula.",17 ppm in edible tissue of Razor clams in April and 23 ppm in November.,LC-UV,23 ppm,Domoic Acid,,,,,,,,,,,,,,,,,,,,,
US-91-034,1991,California.,"US-20, US-21",1,,1,,0,0,1,0,0,0,This file summarizes the events for Domoic Acid during Oct - Dec  in all the Californian Counties.,0,12,,,,,,,,,,October - December 1991.,1,,,1,47  ppm in Monterey County.,0,0,0,0,0,0,0,1,0,0,0,"Mortality of brown pelicans and Brandt’s cormorants in Monterey Bay, California in September 1991.  The source of the toxicity was anchovies, which had been feeding on the marine diatom Pseudonitzschia australis; few, if any, cells of Nitzschia  pungens",0,,Anchovies . This was the first documented case of marine food web effects by this toxin.,,,,,,,UNITED STATES,ASP,"Razor clam (Humbolt, Dec)",,,"Analyses by the Fepartment of Health Services Sanitation and Radiation Laboratory (SRL). All Domoic acid data from Sea mussels, unless specified. Domoic acid was found in plankton samples.",LC-UV,29  ppm,Domoic Acid,Pseudo-nitzschia australis,,,,,,Nitzschia pungens f. multiseries,,Few cells were found.,,,,,,,,,,,,
US-91-015,1991,Oregon and Washington.,"US-22, US-23",1,,0,"Not known, few historical phytoplankton or clam samples available, but some frozen clams collected in 1985 and 1986 contained low levels of domoic acid; no literature references to this species being here in the past.",0,0,1,0,0,0,,0,2,Pacific coasts of Oregon and Washington.,,,,,,,,,Probably October-November.,1,,"Presumed to bePseudo-nitzschia australis Frenguelli.   Cultures from Oregon/Washington have not yet produced domoic acid; few phytoplankton samples are available, cell concentrations not known.",1,,1,0,0,0,0,0,0,0,0,0,0,"Caused razor clams and Dungeness crabs to become intoxicated with domoic acid 28 human illnesses reported, all very mild.",0,,Razor clams and Dungeness crab.,,,,,,,UNITED STATES,ASP,Dungeness crab,"Razor clams are still toxic in mid-March 1992 with domoic acid levels of 30-60 ppm (regulatory closure level is 20 ppm); most toxin was found in the edible parts of the clams rather than in the viscera, but in crabs, most toxin was found in the viscera wi","Razor clams are still toxic in mid-March 1992 with domoic acid levels of 30-60 ppm (regulatory closure level is 20 ppm); most toxin was found in the edible parts of the clams rather than in the viscera, but in crabs, most toxin was found in the viscera wi",Toxin assays done by U.S. Food and Drug Administration and National Marine Fisheries Service using acid or methanol extraction followed by HPLC (same method used in Canadian studies),LC-UV,,Domoic Acid,Pseudo-nitzschia australis,,Probably,,,,,,,,,,,,,,,,,,
