"","discharge","TN","TP"
"1",1773792000,23607213253.632,2511405665.28
"2",3687552000,49077246062.592,5220983623.68
"3",3862944000,51411519949.824,5469310632.96
"4",3916512000,52124450890.752,5545154350.08
"5",3972672000,52871878490.112,5624667924.48
"6",5218560000,69453272309.76,7388645990.4
"7",4156704000,55321141238.784,5885227791.36
"8",6054912000,80584194097.152,8572786606.08
"9",6086016000,80998153998.336,8616824893.44
"10",5738688000,76375601768.448,8125064017.92
"11",5622048000,74823252139.008,7959920440.32
"12",7188480000,95670732718.08,10177737523.2
"13",5784480000,76985042734.08,8189898163.2
"14",5304096000,70591662038.016,7509751280.64
"15",4672512000,62185976266.752,6615529390.08
"16",3807648000,50675591236.608,5391020344.32
"17",1760832000,23434729961.472,2493056378.88
"18",1937088000,25780502734.848,2742606673.92
"19",2321568000,30897507068.928,3286968837.12
"20",1100062080,14640611816.2637,1557511895.3472
"21",151200000,2012305075.2,214075008
"22",607392000,8083716959.232,859969889.28
"23",114462720,1523372436.35712,162060897.4848
"24",0,0,0
"25",352857600,4696145101.2096,499589904.384
"26",530089920,7054911615.92832,750522512.3328
"27",191721600,2551602835.3536,271447110.144
"28",680572800,9057672615.6288,963582193.152
"29",1071100800,14255169152.7168,1516507356.672
"30",254456640,3386536958.26944,360269889.1776
"31",1109289600,14763419920.2816,1570576587.264
"32",2880576000,38337286404.096,4078434723.84
"33",1851552000,24642113006.592,2621501383.68
"34",2265408000,30150079469.568,3207455262.72
"35",529113600,7041917874.5856,749140199.424
"36",301190400,4008511709.7984,426437415.936
"37",754272000,10038527603.712,1067928468.48
"38",2929824000,38992722914.304,4148162012.16
"39",3087936000,41097019078.656,4372023306.24
"40",916790400,12201468087.3984,1298028519.936
"41",456883200,6080610992.9472,646873509.888
"42",145324800,1934112649.4208,205756664.832
"43",1324814400,17631817068.9024,1875725220.096
"44",460736640,6131896025.14944,652329364.3776
"45",4396896000,58517831586.816,6225301232.64
"46",1121472000,14925554214.912,1587824916.48
"47",600134400,7987126315.6224,849694288.896
"48",251769600,3350775422.3616,356465470.464
"49",102643200,1366067673.9072,145326348.288
"50",270432000,3599151363.072,382888442.88
"51",198720000,2644743813.12,281355724.8
"52",221702400,2950614184.5504,313895126.016
"53",282700800,3762435546.3168,400259100.672
"54",402485760,5356641121.32096,569855438.4384
"55",209001600,2781580558.2336,295912825.344
"56",653443200,8696607590.7072,925171020.288
"57",319723200,4255162817.5872,452676895.488
"58",98133120,1306043488.23552,138940796.6208
"59",31881600,424308898.7136,45139244.544
"60",21401280,284827409.78688,30300788.2752
"61",17539200,233427388.7232,24832700.928
"62",0,0,0
"63",0,0,0
"64",0,0,0
"65",0,0,0
"66",0,0,0
"67",58579200,779624480.5632,82938774.528
"68",1440288000,19168643202.048,2039217361.92
"69",207878400,2766632006.2464,294322553.856
"70",372643200,23847662302.6176,527603148.288
"71",323654400,20712576625.4592,458242845.696
"72",91800000,5874829862.4,129974112
"73",227603520,14565707582.6074,322250167.7568
"74",230688000,14763101865.984,326617297.92
"75",450489600,28829518025.9328,637821195.264
"76",557712000,24162707317.248,1737188107.776
"77",2965248000,128468491886.592,9236296802.304
"78",5234112000,226766353102.848,16303463294.976
"79",4705344000,203857636018.176,14656431347.712
"80",1665792000,72169945325.568,5188688879.616
"81",1107648000,47988521736.192,3450155157.504
"82",1000080000,29451827957.76,5663813068.8
"83",238636800,7027727759.7696,1351486107.648
"84",787752000,23198880466.944,4461323166.72
"85",877651200,25846364440.1664,4970454700.032
"86",3544128000,104372698300.416,20071672750.08
