eventName,eventYear,region,originalGridCode,monitoringProgramme,programmeName,occurredBefore,occurredBeforeText,waterDiscoloration,highPhyto,seafoodToxin,massMortal,foamMucil,otherEffect,otherEffectText,days,months,locationText,latitude,longitude,additionalLocationInfo,eventDate,initialDate,finalDate,quarantineStartDate,quarantineEndDate,additionalDateInfo,causativeKnown,pigmentAnalysisInfo,additionalAlgaeInfo,toxicityDetected,toxicityRange,humansAffected,fishAffected,naturalFishAffected,aquacultureFishAffected,planktonicAffected,benthicAffected,shellfishAffected,birdsAffected,otherTerrestrialAffected,aquaticMammalsAffected,seaweedAffected,effectsComments,unexplainedToxicity,toxicityComments,transvectors,eventBiblio,syndromeText,active,created_at,updated_at,checked_at,countryName,syndromeName,speciesContaining,additionalHarmfulEffectInfo,toxinAssayComments,assaytype,concentration,toxinType,toxin,causativeSpeciesName0,cellsPerLitre0,comments0,additionalSpeciesName0,additionalCellsPerLitre0,additionalComments0,causativeSpeciesName1,cellsPerLitre1,comments1,causativeSpeciesName2,cellsPerLitre2,comments2,causativeSpeciesName3,cellsPerLitre3,comments3,additionalSpeciesName1,additionalCellsPerLitre1,additionalComments1,additionalSpeciesName2,additionalCellsPerLitre2,additionalComments2
US-16-002,2016,US Virgin islands,,1,CFP monitoring programme of French Polynesia,1,,0,0,1,0,0,0,,0,0,St Thomas island,,,,9/18/2016,,,,,,0,,,0,,1,0,0,0,0,0,0,0,0,0,0,,NULL,,Lutjanus mahogoni,,,,9/21/2016 9:12,,,UNITED STATES,CFP (Ciguatera Fish Poisoning),,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-16-001,2016,US virgin islands,,0,,1,,0,0,1,0,0,0,,0,0,St Thomas island,,,,9/18/2016,,,,,,0,,,1,CFP monitotoring programme of French Polynesia,1,0,0,0,0,0,0,0,0,0,0,,NULL,,Lutjanus Mahogoni,,,,9/21/2016 8:52,,,UNITED STATES,CFP (Ciguatera Fish Poisoning),,,,,,,,,,,,,,,,,,,,,,,,,,,,
REU-90-001,1990,,,0,,0,,0,0,1,0,0,0,,0,0,Saint Paul,-20.983333,55.266667,shark caught in the bay by local fishermen,,,,,,,0,,,0,,1,0,0,0,0,0,0,0,0,0,0,,0,,"shark, probably Carcharinus leucas",,,,10/10/2017 9:22,,,LA REUNION,CFP (Ciguatera Fish Poisoning),,,,,,,,,,,,,,,,,,,,,,,,,,,,
REU-87-005,1987,,,0,,NULL,,0,0,1,0,0,0,,0,0,Réunion,-20.866667,55.416667,,12/17/1987,,,,,,1,,,0,,1,0,0,0,0,0,0,0,0,0,0,,NULL,,snapper (Lethrinus sp),,,,10/7/2017 4:26,10/10/2017 9:17,,LA REUNION,CFP (Ciguatera Fish Poisoning),,,,,,,,Gambierdiscus sp.,,,,,,,,,,,,,,,,,,,,
REU-87-004,1987,,,0,,NULL,,0,0,1,0,0,0,,0,0,Réunion,20.866667,55.416667,,12/1/1987,,,,,,1,,,0,,1,0,0,0,0,0,0,0,0,0,0,fish caught in Réunion coastal waters,NULL,,Variola louti,,,,10/7/2017 4:24,,,LA REUNION,CFP (Ciguatera Fish Poisoning),,,,,,,,Gambierdiscus sp.,,,,,,,,,,,,,,,,,,,,
REU-87-003,1987,,,0,,NULL,,0,0,1,0,0,0,,0,0,Réunion,20.866667,55.416667,,11/27/1987,,,,,,1,,,0,,1,0,0,0,0,0,0,0,0,0,0,,NULL,,grouper,,,,10/7/2017 4:22,,,LA REUNION,CFP (Ciguatera Fish Poisoning),,,,,,,,Gambierdiscus sp.,,,,,,,,,,,,,,,,,,,,
REU-87-002,1987,,,0,,NULL,offshore banks are risky areas for CFP at that time,0,0,1,0,0,0,,0,0,Réunion,-20.866667,55.416667,,6/25/1987,,,,,,1,,,0,,1,0,0,0,0,0,0,0,0,0,0,fish caught on Soudan offshore bank,NULL,,snapper (Lethrinus sp),,,,10/7/2017 4:20,,,LA REUNION,CFP (Ciguatera Fish Poisoning),,,,,,,,Gambierdiscus sp.,,,,,,,,,,,,,,,,,,,,
REU-87-001,1987,,,0,,NULL,offshore banks are risky areas for CFP at that time,0,0,1,0,0,0,,0,0,Réunion,20.866667,55.416667,,3/1/1987,,,,,,1,,,0,,1,0,0,0,0,0,0,0,0,0,0,,NULL,,grouper,,,,10/7/2017 4:17,,,LA REUNION,CFP (Ciguatera Fish Poisoning),,,,,,,,Gambierdiscus sp.,,,,,,,,,,,,,,,,,,,,
REU-86-002,1986,,,0,,1,offshore banks are risky areas for CFP at that time,0,0,1,0,0,0,,0,0,Saint Denis,-20.866667,55.416667,,,,,,,,1,,,0,,1,0,0,0,0,0,0,0,0,0,0,fish caught on Soudan offshore bank,1,,grouper,,,,10/7/2017 4:14,,,LA REUNION,CFP (Ciguatera Fish Poisoning),,,,,,,,Gambierdiscus sp.,,,,,,,,,,,,,,,,,,,,
REU-86-001,1986,,,0,,1,this species is regularly involved in CFP,0,0,1,0,0,0,,0,0,Réunion,-20.866667,55.416667,,5/13/1986,,,,,,1,,,0,,1,0,0,0,0,0,0,0,0,0,0,toxic fish bought outside Réunion,0,,Variola louti,,,,10/7/2017 4:09,,,LA REUNION,CFP (Ciguatera Fish Poisoning),,,,,,,,Gambierdiscus sp.,,,,,,,,,,,,,,,,,,,,
