,SVM HAB Accuracy,SVM non-HAB Accuracy,SVM Total Accuracy,BAY HAB Accuracy,BAY non-HAB Accuracy,BAY Total Accuracy,RVM HAB Accuracy,RVM non-HAB Accuracy,RVM Total Accuracy,ANN HAB Accuracy,ANN non-HAB Accuracy,ANN Total Accuracy
trial.1,0.52173913,0.682352941,0.648148148,0.869565217,0.376470588,0.481481481,0.782608696,0.635294118,0.666666667,0.434782609,0.670588235,0.62037037
trial.2,0.285714286,0.98630137,0.759259259,0.628571429,0.876712329,0.796296296,0.657142857,0.95890411,0.861111111,0.142857143,0.849315068,0.62037037
trial.3,0.255319149,0.693548387,0.504587156,0.595744681,0.322580645,0.440366972,0.510638298,0.5,0.504587156,0.255319149,0.580645161,0.440366972
trial.4,0.23255814,0.769230769,0.555555556,0.581395349,0.323076923,0.425925926,0.558139535,0.4,0.462962963,0.046511628,0.784615385,0.490740741
trial.5,0.161290323,0.909090909,0.694444444,0.580645161,0.714285714,0.675925926,0.35483871,0.883116883,0.731481481,0.322580645,0.779220779,0.648148148
trial.6,0.333333333,0.638095238,0.62962963,NA,0.447619048,0.435185185,NA,0.59047619,0.574074074,0.333333333,0.60952381,0.601851852
trial.7,0.866666667,0.720430108,0.740740741,0.8,0.634408602,0.657407407,0.866666667,0.591397849,0.62962963,0.333333333,0.709677419,0.657407407
trial.8,0.5,0.62962963,0.596330275,0.607142857,0.308641975,0.385321101,0.857142857,0.432098765,0.541284404,0.428571429,0.641975309,0.587155963
trial.9,0.464285714,0.775,0.694444444,0.928571429,0.3375,0.490740741,0.785714286,0.5,0.574074074,0.357142857,0.9,0.759259259
trial.10,0.184615385,0.790697674,0.425925926,0.476923077,0.325581395,0.416666667,0.6,0.488372093,0.555555556,0.323076923,0.906976744,0.555555556
average,0.380552213,0.759437703,0.624906558,0.60685592,0.466687722,0.52053177,0.59728919,0.597966001,0.610142712,0.297750905,0.743253791,0.598122664
