eventName,eventYear,region,originalGridCode,monitoringProgramme,programmeName,occurredBefore,occurredBeforeText,waterDiscoloration,highPhyto,seafoodToxin,massMortal,foamMucil,otherEffect,otherEffectText,days,months,locationText,latitude,longitude,additionalLocationInfo,eventDate,initialDate,finalDate,quarantineStartDate,quarantineEndDate,additionalDateInfo,causativeKnown,pigmentAnalysisInfo,additionalAlgaeInfo,toxicityDetected,toxicityRange,humansAffected,fishAffected,naturalFishAffected,aquacultureFishAffected,planktonicAffected,benthicAffected,shellfishAffected,birdsAffected,otherTerrestrialAffected,aquaticMammalsAffected,seaweedAffected,effectsComments,unexplainedToxicity,toxicityComments,transvectors,eventBiblio,syndromeText,active,created_at,updated_at,checked_at,countryName,syndromeName,speciesContaining,additionalHarmfulEffectInfo,toxinAssayComments,assaytype,concentration,toxinType,toxin,causativeSpeciesName0,cellsPerLitre0,comments0,additionalSpeciesName0,additionalCellsPerLitre0,additionalComments0,causativeSpeciesName1,cellsPerLitre1,comments1,causativeSpeciesName2,cellsPerLitre2,comments2,causativeSpeciesName3,cellsPerLitre3,comments3,additionalSpeciesName1,additionalCellsPerLitre1,additionalComments1,additionalSpeciesName2,additionalCellsPerLitre2,additionalComments2
ZAF-94-002,1994,,,0,,NULL,,0,1,0,0,0,0,,0,0,"Paarl, Western Cape",-33.716667,18.95,,,,,,,,1,,,1,microcystins,0,0,0,0,0,0,0,0,0,0,0,,NULL,,,"P. J. Oberholster, A.-M. Botha, T. E. Cloete, An overview of toxic freshwater cyanobacteria in South Africa with special reference to risk, impact and detection by molecular marker tools. Biokemistri 17, 57-71 (2005).",,,2/12/2019 1:11,,,SOUTH AFRICA,Cyanobacterial toxins effects,,,,,,,,Microcystis spp.,,,,,,,,,,,,,,,,,,,,
ZAF-89-004,1989,,,0,,NULL,,0,1,0,0,0,0,,0,0,Bloemhof Dam,-27.7,25.666667,,,,,,,,1,,,1,microcystins,0,0,0,0,0,0,0,0,0,0,0,,NULL,,,"P. J. Oberholster, A.-M. Botha, T. E. Cloete, An overview of toxic freshwater cyanobacteria in South Africa with special reference to risk, impact and detection by molecular marker tools. Biokemistri 17, 57-71 (2005).",,,2/21/2019 11:29,,,SOUTH AFRICA,Cyanobacterial toxins effects,,,,,,,,Microcystis spp.,,,Cylindrospermopsis raciborskii Seenaya et Subba Raju 1972,,,,,,,,,,,,,,,,,
ZAF-89-003,1989,,,0,,NULL,,0,1,0,0,0,0,,0,0,Klipdrif Dam,-26.6,27.3,,,,,,,,1,,,1,microcystins,0,0,0,0,0,0,0,0,0,0,0,,NULL,,,"P. J. Oberholster, A.-M. Botha, T. E. Cloete, An overview of toxic freshwater cyanobacteria in South Africa with special reference to risk, impact and detection by molecular marker tools. Biokemistri 17, 57-71 (2005).",,,2/12/2019 1:15,,,SOUTH AFRICA,Cyanobacterial toxins effects,,,,,,,,Microcystis spp.,,,Cylindrospermopsis raciborskii Seenaya et Subba Raju 1972,,,,,,,,,,,,,,,,,
ZAF-89-002,1989,,,0,,NULL,,0,1,0,0,0,0,,0,0,Zeekoevlei,-34.066667,18.516667,,,,,,,,1,,,0,,0,0,0,0,0,0,0,0,0,0,0,,NULL,,,"W. Harding, Zeekoevlei-water chemistry and phytoplankton periodicity. Water SA 18, 237–237 (1992).",,,2/12/2019 1:10,,,SOUTH AFRICA,Cyanobacterial toxins effects,,,,,,,,Microcystis spp.,,,,,,,,,,,,,,,,,,,,
ZAF-87-001,1987,,,0,,NULL,,0,1,0,0,0,0,,0,0,Eastern Transvaa,-24.966667,30.433333,,,,,,,,1,,,1,microcystins,0,0,0,0,0,0,0,0,0,0,0,,NULL,,,"P. J. Oberholster, A.-M. Botha, T. E. Cloete, An overview of toxic freshwater cyanobacteria in South Africa with special reference to risk, impact and detection by molecular marker tools. Biokemistri 17, 57-71 (2005).",,,2/12/2019 1:17,,,SOUTH AFRICA,Cyanobacterial toxins effects,,,,,,,,Microcystis spp.,,,Cylindrospermopsis raciborskii Seenaya et Subba Raju 1972,,,,,,,,,,,,,,,,,
ZAF-84-001,1984,,,0,,NULL,,0,1,0,0,0,0,,0,0,Willem Pretorius Game Reserve,-28.3,27.233333,,,,,,,,1,,,0,,0,0,0,0,0,0,0,0,0,0,0,,NULL,,,"P. J. Oberholster, A.-M. Botha, T. E. Cloete, An overview of toxic freshwater cyanobacteria in South Africa with special reference to risk, impact and detection by molecular marker tools. Biokemistri 17, 57-71 (2005).",,,2/12/2019 1:12,,,SOUTH AFRICA,Cyanobacterial toxins effects,,,,,,,,Microcystis spp.,,,Cylindrospermopsis raciborskii Seenaya et Subba Raju 1972,,,,,,,,,,,,,,,,,
ZAF-80-002,1980,,,0,,NULL,,0,1,0,0,0,0,,0,0,Vaal Dam,-26.883333,58.15,,,,,,,,1,,,1,microcystins,0,0,0,0,0,0,0,0,0,0,0,,NULL,,,"P. J. Oberholster, A.-M. Botha, T. E. Cloete, An overview of toxic freshwater cyanobacteria in South Africa with special reference to risk, impact and detection by molecular marker tools. Biokemistri 17, 57-71 (2005).",,,2/12/2019 1:13,,,SOUTH AFRICA,Cyanobacterial toxins effects,,,,,,,,Microcystis spp.,,,Cylindrospermopsis raciborskii Seenaya et Subba Raju 1972,,,,,,,,,,,,,,,,,
ZAF-79-001,1979,,,0,,NULL,,0,1,0,0,0,0,,0,0,Klipvoor Dam,25.116667,27.8,,,,,,,,1,,,1,microcystins,0,0,0,0,0,0,0,0,0,0,0,,NULL,,,"P. J. Oberholster, A.-M. Botha, T. E. Cloete, An overview of toxic freshwater cyanobacteria in South Africa with special reference to risk, impact and detection by molecular marker tools. Biokemistri 17, 57-71 (2005).",,,2/12/2019 1:16,,,SOUTH AFRICA,Cyanobacterial toxins effects,,,,,,,,Microcystis spp.,,,Cylindrospermopsis raciborskii Seenaya et Subba Raju 1972,,,,,,,,,,,,,,,,,
ZAF-73-001,1973,,,0,,NULL,,0,1,0,0,0,0,,0,0,Hartbeespoort Dam,-25.75,27.866667,,,,,,,,1,,,1,microcystins,0,0,0,0,0,0,0,0,0,0,0,,NULL,,,"P. J. Oberholster, A.-M. Botha, T. E. Cloete, An overview of toxic freshwater cyanobacteria in South Africa with special reference to risk, impact and detection by molecular marker tools. Biokemistri 17, 57-71 (2005).",,,2/12/2019 1:20,,,SOUTH AFRICA,Cyanobacterial toxins effects,,,,,,,,Microcystis spp.,,,Cylindrospermopsis raciborskii Seenaya et Subba Raju 1972,,,,,,,,,,,,Melosira spp.,,,Cyclotella spp.,,
ZAF-14-002,2014,,,0,,NULL,,0,1,0,0,0,0,,0,0,Swartspruit River,-24.75,27.866667,,,,,,,,1,,,1,microcystins,0,0,0,0,0,0,0,0,0,0,0,,NULL,,,"K. Eguzozie, V. Mavumengwana, D. Nkosi, E. Kayitesi, E. C. Nnabuo-Eguzozie, Bioaccumulation and quantitative variations of microcystins in the swartspruit river, South Africa. Archives of Environmental Contamination and Toxicology 71, 286–296 (2016).",,,2/12/2019 1:27,,,SOUTH AFRICA,Cyanobacterial toxins effects,,,,,,,,Microcystis spp.,,,,,,,,,,,,,,,,,,,,
