eventName,eventYear,region,originalGridCode,monitoringProgramme,programmeName,occurredBefore,occurredBeforeText,waterDiscoloration,highPhyto,seafoodToxin,massMortal,foamMucil,otherEffect,otherEffectText,days,months,locationText,latitude,longitude,additionalLocationInfo,eventDate,initialDate,finalDate,quarantineStartDate,quarantineEndDate,additionalDateInfo,causativeKnown,pigmentAnalysisInfo,additionalAlgaeInfo,toxicityDetected,toxicityRange,humansAffected,fishAffected,naturalFishAffected,aquacultureFishAffected,planktonicAffected,benthicAffected,shellfishAffected,birdsAffected,otherTerrestrialAffected,aquaticMammalsAffected,seaweedAffected,effectsComments,unexplainedToxicity,toxicityComments,transvectors,eventBiblio,syndromeText,active,created_at,updated_at,checked_at,countryName,syndromeName,speciesContaining,additionalHarmfulEffectInfo,toxinAssayComments,assaytype,concentration,toxinType,toxin,causativeSpeciesName0,cellsPerLitre0,comments0,additionalSpeciesName0,additionalCellsPerLitre0,additionalComments0,causativeSpeciesName1,cellsPerLitre1,comments1,causativeSpeciesName2,cellsPerLitre2,comments2,causativeSpeciesName3,cellsPerLitre3,comments3,additionalSpeciesName1,additionalCellsPerLitre1,additionalComments1,additionalSpeciesName2,additionalCellsPerLitre2,additionalComments2
ZAF-92-001,1992,West Coast,,0,,1,"The previous year, 1991",1,0,1,0,0,0,,0,0,St Helena Bay,-32.543889,18.178056,,2/24/1992,2/1/1992,4/30/1992,2/24/1992,,,1,,,1,<0.1 - >5.1µg OA per g hepatopancreas,1,0,0,0,0,0,1,0,0,0,0,,0,,mussels,"PITCHER, G.C., D.A. HORSTMAN, D. CALDER, J.H. DE BRUYN and B.J. POST 1993 – The first record of diarrhetic shellfish poisoning on the South African coast. S. Afr. J Sci. 89: 512 -514",,,9/27/2017 2:19,4/23/2018 9:16,,SOUTH AFRICA,DSP,,,,,,,,Dinophysis acuminata,250000,,Ceratium furca,>250000,much higher concentrations than D. acuminata,,,,,,,,,,,,,,,
ZAF-91-001,1991,West Coast,,0,,0,,1,0,1,0,0,0,,0,0,Yzerfontein,-33.350556,18.149444,,,3/1/1991,4/30/1991,,,,1,,,1,,1,0,0,0,0,0,0,0,0,0,0,,0,,mussels,"PITCHER, G.C., D.A. HORSTMAN, D. CALDER, J.H. DE BRUYN and B.J. POST 1993 – The first record of diarrhetic shellfish poisoning on the South African coast. S. Afr. J Sci. 89: 512 -514",,,9/26/2017 4:42,1/5/2018 12:02,,SOUTH AFRICA,DSP,,,,,,,,Dinophysis acuminata,200000,Elands Bay on 10 March 1991,,,,,,,,,,,,,,,,,,
ZAF-07-002,2007,West Coast,,0,,NULL,,0,1,0,0,0,0,,0,0,Lamberts Bay,-32.039167,18.26,"Mooring station 3.5km offshore of Lambert\'s Bay, within the St Helena Bay region.",,3/20/2007,4/11/2007,,,,1,38 - 63,"An increase in phytoplankton biomass was associated with the onset of each period of downwelling, depicted by subsurface chlorophyll-a maxima of 38µg/L (on 22 March) 63µg/L (on 29 March). The extended period of stratification during the later stages of the study, from 3 to 11 April, was distinguished by low phytoplankton biomass depicted by chlorophyll-a concentrations less than 5µg/L.",1,0.02 - 0.50 mg OA eq kg-1,0,0,0,0,0,0,1,0,0,0,0,Uptake and loss of toxins by the mussel (Choromytilus meridionalis),0,,,"HUBBART, B., PITCHER, G.C., KROCK, B. and A.D. CEMBELLA 2012 – Toxigenic phytoplankton and concomitant toxicity in the mussel Choromytilus meridionalis off the west coast of South Africa. Harmful Algae, 20: 30-41.",,,4/20/2018 1:11,4/23/2018 1:07,,SOUTH AFRICA,DSP,Dinophysis acuminata,,,Both LC-MS/MS and ELISA assays were carried out.,LC-UV,1.2x10e4 pg OA eqL-1,Okadaic Acid,Dinophysis acuminata,8.3x10e4,at 5m on 25 March,Alexandrium catenella,6.1x10e5,at 5m on 22 March,,,,,,,,,,Pseudo-nitzschia spp.,1.2x10e6,at 5m on 29 March,,,
UY-92-005,1992,Rocha,,1,National Monitoring Program on Harmful Phytoplankton and Shellefish Toxicity,1,,0,0,1,0,0,0,,0,0,La Paloma,-34.65,-54.166667,,2/17/1992,1/20/1992,2/20/1992,2/17/1992,3/16/1992,,1,,,1,,0,0,0,0,0,0,1,0,0,0,0,,NULL,,,"Ferrari, G. Méndez, S. y A. Brazeiro. 2000. Dinophysis acuminata associated to diarrehtic shellfish poisoning reports in Uruguay. Frente Marítimo. Vol. 19: 91-95.",,,12/27/2013 2:50,9/27/2017 4:40,,URUGUAY,DSP,,,,,,,,Dinophysis acuminata,2000,,,,,,,,,,,,,,,,,,,
UY-92-004,1992,Maldonado,,1,National Monitoring Program on Harmful Phytoplankton and Shellfish Toxicity,1,this area is often afected by this toxins,0,0,1,0,0,0,,0,0,Piriapolis,-34.866667,-55.266667,,2/17/1992,1/13/1992,2/3/1992,2/17/1992,3/16/1992,,1,,,1,,0,0,0,0,0,0,0,0,0,0,0,,NULL,,,"Ferrari, G. Méndez, S. y A. Brazeiro. 2000. Dinophysis acuminata associated to diarrehtic shellfish poisoning reports in Uruguay. Frente Marítimo. Vol. 19: 91-95.",,,12/27/2013 2:33,9/27/2017 4:41,,URUGUAY,DSP,,,,,,,,Dinophysis acuminata,1500,,,,,,,,,,,,,,,,,,,
UY-92-003,1992,Maldonado,,1,National Monitoring Program on HAB and Shellfish Toxicity,0,,0,0,1,0,0,0,,0,0,Punta del Este,-34.95,-54.933056,,2/17/1992,,,2/17/1992,3/16/1992,,1,,,1,,0,0,0,0,0,0,0,0,0,0,0,,NULL,,,"Ferrari, G. Méndez, S. y A. Brazeiro. 2000. Dinophysis acuminata associated to diarrehtic shellfish poisoning reports in Uruguay. Frente Marítimo. Vol. 18: 91-95. http://ctmfm.org/revistas/?i=18#90",,,12/20/2013 7:08,9/28/2017 11:04,,URUGUAY,DSP,,,,,,,,Dinophysis acuminata,4500,,,,,,,,,,,,,,,,,,,
UY-92-001,1992,Rocha,,1,National Monitoring Program on HAB and Shellfish Toxicity,0,this is de first report of DSP in the country,0,1,1,0,0,0,,0,0,Coronilla,-33.733056,-53.35,,1/21/1992,,,1/21/1992,2/7/1992,,1,,,1,,1,0,0,0,0,0,1,0,0,0,0,,NULL,,Mesodesma mactroides and Mytilus edulis,"Méndez, S., A. Brazeiro, G. Ferrari, D. Medina y G. Inocente. 1993 . Mareas Rojas en el Uruguay. Programa de control y actualizacion de resultados. INAPE, Inf. Téc. N&#61616; 46. 31p.",,,12/20/2013 6:53,3/22/2018 7:27,,URUGUAY,DSP,,,,,,,,Dinophysis acuminata,4500,,,,,,,,,,,,,,,,,,,
UY-17-002,2017,Maldonado,,1,,1,Lipophilic toxins had been recurrent the last years in this area,0,0,1,0,0,0,,0,0,Punta del Este,-34.95,-54.933333,,,,,9/21/2017,,the molluscs are still toxic,1,,,1,,0,0,0,0,0,0,0,0,0,0,0,,NULL,,,,,,3/22/2018 6:58,,,URUGUAY,DSP,,,,,,,,Dinophysis ovum Schütt sensu Martin 1929,200,,,,,Dinophysis caudata,300,,,,,,,,,,,,,
UY-17-001,2017,,,1,,1,,0,1,1,0,0,0,,0,0,Maldonado y Rocha Departments,-34.65,-54.166667,,,,,6/15/2017,8/29/2017,,1,,,1,,0,0,0,0,0,0,1,0,0,0,0,,NULL,,,monitoring data unpublished,,,9/28/2017 9:10,3/22/2018 5:59,,URUGUAY,DSP,,,,,,,,Dinophysis ovum Schütt sensu Martin 1929,8300,reported as D cf ovum,,,,,,,,,,,,,,,,,,
UY-16-006,2016,Rocha,,1,,1,,0,0,1,0,0,0,,0,0,Arachania,-34.6,-54.15,,,,,3/8/2016,4/27/2016,,1,,,1,,0,0,0,0,0,0,1,0,0,0,0,,NULL,,,unpub information ffrom monitoring programe,,,9/28/2017 9:54,,,URUGUAY,DSP,,,,,,,,Dinophysis sp.,600,D cf ovum,,,,,,,,,,,,,,,,,,
