"","Tampa_TN_mg","Myakka_TN_mg","Peace_TN_mg","Withlacoochee_TN_mg","Manatee_TN_mg","Hillsborough_TN_mg","Tampa_TP_mg","Myakka_TP_mg","Peace_TP_mg","Withlacoochee_TP_mg","Manatee_TP_mg","Hillsborough_TP_mg"
"1",1583018677.69921,11047831376.4,89619290974.08,161483914368,3292944588.05761,15282770222.16,877542962.637603,3941388491.04,14787183010.7232,8848433664,1510741603.1232,4803156355.53599
"2",1952843193.21599,9554529495.74399,76877087765.7601,125589835448.064,7881593758.92864,12340692788.256,1082554378.848,3408642955.2384,12684719481.3504,6881634819.072,3615928319.50848,3878503447.73759
"3",1075998076.8768,12413835082.656,91756982839.6801,156679581874.176,5058273467.27808,8523699716.448,596477194.7904,4831330410.5472,15139902168.5472,8585182568.448,2320641590.72256,2678877053.7408
"4",1164718915.4304,15027973815.168,150362309940.48,166444521617.664,19229453960.4635,7375811683.96799,645659398.771199,5848724944.2816,24809781140.1792,9120247759.872,8822115078.63556,2318112243.5328
"5",1318573604.2752,14040517161.6,143147829260.16,235233444421.248,7161191141.48928,7132140806.11201,737773326.2016,5464417489.92,23619391827.9264,12889503803.904,3351489821.24544,2241529967.6352
"6",1235491093.6704,2344828294.8288,108957145178.88,179799315752.448,7461466509.67489,10105856742.24,691286683.363199,4514107947.264,17977928954.5152,9852017301.504,3492020889.35424,3176126404.704
"7",2178919653.9264,3309085435.89886,91045030527.36,134577866405.376,18622119238.0589,11073636334.656,1219157425.4112,6016518974.36157,15022430037.0144,7374129666.04801,8715287979.78624,3480285705.1776
"8",2744762715.072,9230050909.09439,283269402460.8,187758909983.232,35020053936.0057,44097132502.08,1535760090.576,16781910743.808,46739451406.032,10288159451.136,16389641330.1965,13859098786.368
"9",2155371403.0464,2742155689.23648,155688190318.08,36626786476.471,14984214844.7232,31266011710.08,947057131.641601,4985737616.79359,25688551402.4832,2006947204.19019,7012722121.11359,9826460823.16801
"10",1685684719.0656,1634641081.92,111972850398.72,36626786476.471,7759372016.55167,26665896579.84,740679649.2864,2972074694.4,18475520315.7888,2006947204.19019,3631442845.04064,8380710353.66401
"11",736824770.0352,21583112441.6102,106075389749.76,729928129577.472,5371834330.46017,16296995171.52,323756338.3488,3043350458.6112,17502439308.7104,39996061894.656,2514057748.80768,5121912768.19199
"12",4253722398.60481,148773332688.814,367996773680.639,36626786476.471,35990126458.6483,35389738589.184,1869059841.8112,20977947063.5904,60719467657.3055,2006947204.19019,16843642364.5593,11122489270.8864
"13",1261950764.6592,62245078910.4847,234706639806.72,36626786476.471,5860862181.71136,21565113524.64,554493517.8048,28702951784.1793,38726595568.1088,2006947204.19019,2742926359.26528,6777607107.74401
"14",317170739.570087,19269564064.5026,144115442756.077,52574564869.607,3793236377.02347,5345379264.52174,158585369.785043,8885736477.91471,39117048748.0779,2880798075.04696,1775262362.92141,1679976340.27826
"15",134836927.7472,9205998460.60033,81018988083.9358,83394163040.2559,2553121289.77344,2500110660.096,67418463.8735998,1648940273.0496,21990868194.2111,4569543180.28799,1194879433.60512,785749064.6016
"16",34159235.4432,2074219594.16255,48488806364.9472,80651168992.5119,1881948686.40001,1642561857.216,17079617.7216,788391157.962236,13161247441.9142,4419242136.57599,880765747.200004,516233726.5536
"17",27378409.5648,1079131727.232,36069391060.416,36909120667.3919,1832822855.50464,1367065161.504,13689204.7824,246100629.1968,9790263287.8272,2022417570.816,857774499.10272,429649050.758399
"18",37616725.21824,595374402.67776,25312061253.8304,22140263241.9072,1489611176.54784,1374878899.296,20898180.6768,139142434.89024,6870416626.03969,1213165109.1456,697148923.57632,432104796.9216
"19",17605475.139168,420199881.84576,18500758230.1248,30885993911.1169,1284700821.5808,1280432573.6832,9780819.52175999,82161988.0704,5021634376.74816,1692383228.0064,614735346.40128,402421666.01472
"20",10710547.281504,284768080.427521,13249214634.4992,21081464562.816,777305079.792001,1045774253.664,5950304.04528,55680909.5808002,3596215400.79264,1155148743.168,371944112.9472,328671908.2944
"21",2727850.78944,153179170.060032,6960440161.98719,10614776749.056,637469245.7568,911138913.216,1515472.6608,98411198.6419201,1889262329.68224,581631602.688001,204347618.03232,286357944.1536
"22",196968457.603584,123409216.446336,11031101414.5248,10991175660.9792,1467267301.4688,990007714.080001,201071967.136992,87156969.64992,2994156098.22817,602256200.6016,470348303.18112,311145281.568
"23",22321050.605568,101398533.826176,7488820096.73279,8226154314.31679,550699038.288,860545852.992,22786072.493184,61233505.58592,2032679740.54176,450748181.606399,176532495.4512,270457268.0832
"24",7000252.7616,70683174.006912,5851939433.43746,5588682935.04,420761879.712,823278962.015999,7146091.3608,26768448.70272,1588383560.50445,306229201.92,134879742.7488,258744816.6336
"25",13331490.541056,43951648.1460479,4075927497.7344,4892590522.5984,443558829.254401,766329063.36,13609229.927328,18984232.873728,1106323177.95648,268087151.9232,142187549.93856,240846277.056
"26",31754051.75808,61679709.2609279,5121986649.55488,5609966068.45439,449585295.5808,767765149.872,32415594.50304,26641593.969408,1390253519.1649,307395401.0112,144119398.48992,241297618.5312
"27",83447192.4779519,216646925.534208,4082285398.0464,4820852968.01279,460847424.96,856103796.576,39960627.383808,93931505.800704,2742335249.74646,264156327.014399,147729595.104,269061193.2096
"28",779761590.5088,711928682.516734,12292561590.624,5606691740.2368,1993615052.7456,1101433755.744,373406958.8352,308670584.669567,8257709021.46625,307215985.7664,639074731.861441,346164894.6624
"29",828743226.5952,6876192033.35194,37833059482.128,9377973681.40801,2827857968.23681,2700806919.02147,396862953.5808,883124751.84768,25414914075.6413,513861571.584,906500264.584324,848825031.692461
"30",556512449.011201,14561288258.9184,20895678038.016,7402214268.28801,1612584220.2624,3530822859.09625,266498919.2448,1870138881.792,14036979011.4202,405600781.824001,516931203.317759,1109687184.28739
"31",780553922.8896,7801852959.19871,15020068330.944,7296393933.61921,1052831847.9456,1497187087.2,404383357.6416,1958433609.1392,10089951784.6694,399802407.3216,337496564.34144,470544513.120001
"32",781019281.180801,5750020462.87872,19888963553.52,12167289483.264,5982672186.48959,3366311661.216,404624446.8768,1443379333.9392,13360703751.8352,177439638.2976,1917809869.12704,1057983664.9536
"33",654293757.4272,5709158436.99457,16479092725.2,10874031777.792,4826354186.016,2264449755.456,338971464.6912,1303141242.76992,11070072877.752,158579630.0928,1547139706.3584,711684208.8576
"34",833795141.9328,5685409567.24992,27301907057.328,10809686946.816,2016630154.9152,3804219929.664,431966157.8688,1297720455.80544,18340457564.3933,157641267.9744,646452470.220479,1195611977.8944
"35",323845791.12,3723683076.72575,22196004041.52,7537152881.664,585705653.9712,2111564520.576,161922895.56,739084790.476797,14910492126.7152,109916812.8576,289060488.21888,663634563.609601
"36",844334768.159999,2748355413.60269,26241903186.912,62968389838.8478,1258608263.74561,5147870637.168,422167384.08,786161209.96224,17628384376.1491,918289018.483197,621154869.733443,1617902200.2528
"37",699509202.48,3704649056.1216,43990648025.184,75106809778.1759,2173122426.2544,4911808341.888,349754601.24,540666820.8,29551364732.2118,1095307642.5984,1072490636.26656,1543711193.1648
"38",1313369287.92,12913447923.648,74547951678.72,38658521244.672,13702515405.7247,11774963900.448,656684643.959999,2035394593.92,50078682833.5872,563770101.4848,6762536380.09149,3700702940.1408
"39",1805187504.96,35614445989.2479,179604726667.2,66908837928.9599,14303010711.96,42445365419.52,902593752.480002,13200721293.312,120652116384.672,975753886.463998,7058895934.10402,13339971988.992
"40",1364085950.976,24694073088.6529,217638586213.171,467282927462.4,4591044593.7552,15042051795.4561,606260422.656,9153015507.76323,134952411223.849,6814542692.16,2265796108.86048,4727501992.85762
"41",407812890.24,12472712845.6896,114065036034.048,248627937576.96,2678149198.7136,4765523753.088,181250173.44,6385643719.45344,70728963631.7183,3625824089.664,1321734064.97664,1497736036.6848
"42",291294921.6,11047633357.0176,65062606128.5374,79369226680.3198,2423200390.70399,3934234817.856,129464409.6,4521425234.9184,40343744785.006,1157467889.088,1195910408.6496,1236473799.8976
"43",140811030.373006,9711134538.73921,45188073014.5151,50807706098.688,1618590171.0672,2156152776.8256,62582680.1657806,2759611977.03168,28020028607.8641,740945713.9392,798815005.289279,677648015.57376
"44",88295746.752,6106994208.576,24325343159.04,29500025416.704,1657787177.6064,1320854097.7632,33240751.7184,1756806553.152,15083555587.632,430208703.9936,818159714.991361,415125573.58272
"45",98518210.6608,8815012477.63201,74062276649.8561,19209990260.736,3595674428.1504,1984350822.6422,37089208.71936,3139593485.184,45924222301.4449,280145691.3024,1774555868.85696,623653115.687547
"46",47793647.2176,8339602345.40159,37621022009.472,15650473356.288,1252285023.19681,1981095866.55508,17992902.48192,2894108576.4864,23327883723.2976,228236069.7792,618034191.304323,622630129.48874
"47",24123195.1872,5746111147.41119,21125606829.4656,15282508999.68,1380627322.9632,1336247280.144,9081673.48224002,1364373423.1296,13099476659.0285,222869922.912,681374347.879682,419963430.902401
"48",11980152.247104,3762203122.02241,15895809431.8848,13767347257.344,1506525344.87041,1230132082.6368,4957304.378112,893308503.859202,9856606075.75584,200773814.1696,743508191.784963,386612940.257281
"49",15480528.38208,2424044712.7296,12996817906.4064,12262950429.696,866660192.01216,1154952507.744,6405735.88223999,708396628.377601,8059011709.38911,178834693.7664,211109533.95168,362985073.8624
"50",42489046.9152,1389750180.39936,9918186867.07198,10585580995.584,958345306.813438,1123733235.744,17581674.5856,455016429.504,6150027235.37758,154373056.1856,233443087.557119,353173302.6624
"51",28458570.89088,872666779.94496,9162086171.67359,9295993147.39201,750429236.7936,1106803470.528,11775960.36864,285718777.344,5681187523.87488,135566566.7328,182796865.3728,347852519.3088
"52",59528678.48352,533865453.91488,6709010849.04961,11464878799.872,683623919.422081,1073407769.28,13327316.0784,140832608.04864,2680378853.63473,167196149.1648,166523775.24384,337356727.488
"53",60481465.17984,223299387.960192,10619461933.5168,27992937360.384,1651640064.72192,1274902302.64321,13540626.5328,58905918.994176,4242679262.86175,408230336.5056,402322579.868159,400683580.830722
"54",24560723.72736,370512868.607999,11424457360.7424,41008208532.48,1313285951.5776,1371364501.248,5498669.4912,100513313.28,4564290416.71969,598036374.432001,319902988.204801,431000271.820799
"55",33318506.81952,763365483.705601,9578735262.72001,39548094649.344,945209664.322557,1265932559.808,7459367.19840001,157100473.728,3826888943.90401,576743046.9696,230243379.770879,397864518.796799
"56",83133200.5084799,1729066000.03201,18370816229.376,51153161997.3119,2038612752.93312,1789931092.7232,18611910.5616,404244973.440001,7339494368.5632,745983612.460799,496585157.76576,562549771.998719
"57",19138050.864,3885290441.01505,19009045186.56,104886967633.92,1262774953.44,2112741933.12,7904847.09600001,1358406541.01376,7594479110.59199,1529601611.328,307599027.12,664004607.552
"58",20263473.7632,2379540149.61408,13775938800.9984,19987592242.176,876623242.884479,1549100276.64,8369695.6848,1588045923.44064,5503752472.89888,1691257805.1072,213536430.95904,486860086.944
"59",27086350.0896,1086074077.80096,15269468773.4784,13595230950.912,736681339.77984,1233007823.5776,11187840.2544,507834850.4064,6100446418.63488,1150365695.8464,179448018.66432,387516744.552961
"60",33256246.67136,745599398.79168,9428878679.50079,11272374397.44,697163093.30304,983817378.432,13736275.79904,315142877.4912,3767018357.05056,953816295.168,169821779.13792,309199747.5072
"61",49309757.0064,593635501.969919,6801326108.92798,12293328692.736,678002309.712,915973440.48,16137738.65664,136290955.78368,2717260575.24959,1040204735.5392,165154408.776,287877367.008
"62",40132947.5712001,546624324.39168,5509866633.52319,11019521230.848,656252237.928959,867253536.576,13134419.20512,125497803.58272,2201297679.06624,932421027.225598,125238976.704,272565397.2096
"63",59312156.904,532404239.074559,2924364765.8016,9453580896.61443,820562350.16448,855550769.472,19411251.3504,112515785.3952,1585814064.05664,799918383.559682,156595868.352,268887384.6912
"64",32639557.7376,494625504.94848,2643006212.15327,9782555058.43197,500956212.63744,845471404.512,10682037.07776,104531807.0016,1433239954.07011,827754658.790398,95602330.6560001,265719584.2752
"65",26320636.91664,465230253.95712,1944799273.82016,6659844955.5456,347823568.21248,742893796.512,8614026.62726401,125133978.0096,1054618793.20166,563525342.39232,66378543.552,233480907.4752
"66",7191787.39981356,466512877.94087,1390367780.14915,5216692018.1159,292978437.601837,679175456.268522,2996578.08325565,109767735.986087,753963666.14592,441412401.532884,55911915.5728696,213455143.398678
"67",26703166.019328,334328075.8272,1030554030.2976,4151721773.7216,260206643.1168,636177405.024,11126319.17472,78665429.6064,558845153.015041,351299534.69952,49657756.32,199941470.1504
"68",40783123.95264,227636659.756801,863852292.460801,2682363927.8592,257124493.092096,625134702.528,16992968.3136,70777784.9664003,468446730.95232,226969255.43424,49069559.7503999,196470906.5088
"69",25075676.06208,142441228.82304,776269619.366401,1977237550.08,213213203.18208,574488123.551999,10448198.3592,21186636.556032,420952712.29056,167304715.776,40689542.5920001,180553410.2592
"70",7088662.76664,67976154.75456,2296245908.63232,1719560559.9744,203624885.51424,607223760.192,1744901.604096,20789741.4912,1245200017.12013,145501278.15168,38859710.976,190841753.2032
"71",5102452.33056,28411392.836736,1723494723.43392,1936314563.7888,206015373.985908,558753610.464,1255988.265984,8689304.57472,934610553.276769,163842001.55136,39315911.0660129,175608277.5744
"72",6078481.45632,8936994.45599999,1797670413.9648,1904668161.1776,519675466.52448,710425753.631999,1496241.589248,3064585.68,974834281.393921,161164229.02272,99174707.3520001,223276665.4272
"73",18775474.0617599,32833142.7091199,1815469068.86208,1839626057.3184,343334330.34432,736828337.952,4621655.15366399,11258816.3136,984486072.301632,155660666.38848,65521818.7679999,231574620.4992
"74",4673624.41036801,29291343.060096,2968488377.34337,1312451059.0464,629350196.2272,681650504.640001,1412956.217088,7383915.95212801,1609741258.28295,111053551.15008,194570098.8336,214233015.744
"75",17057063.3904,261396349.682688,4240022744.92318,1137044113.92,1422569815.99488,632466771.552001,5156786.60640001,86286173.6816641,3341065132.90943,96211425.0239997,439802118.685439,198775271.0592
"76",80256414.67776,1006139489.21856,8539960242.4128,1248469136.1792,1592675652.28032,989133574.464,24263567.22816,952413594.163199,6729342062.26176,105639696.13824,492392090.972162,310870551.9744
"77",223849163.16288,2579943919.84129,31264753000.0032,1427692732.8768,3417901393.51297,1316068926.6816,67675328.39808,1127159964.9792,24636088630.0454,120804769.70496,1056679438.45248,413621662.67136
"78",113322899.1456,6270438030.61248,75603035646.7201,1577549316.096,1845951464.1024,2430571961.664,34260411.3696,3439609210.96704,59573894183.4241,133484942.1312,570694918.291201,763894045.094401
"79",76223088.61632,7074644030.76096,87595487012.736,2230355761.92,2449628205.2928,2903338777.248,23655441.29472,3880751337.26208,69023739980.8512,188722410.624,757327803.9264,912477901.420801
"80",195553085.39712,9575897341.69728,41565815057.6928,3364855441.4592,1835294810.20416,2672387522.784,60688888.5715201,5257693409.9328,32753148689.2378,284718537.35424,567400303.918081,839893221.446401
"81",230507329.15872,8261449676.40961,28164090329.28,3295784649.8304,2117519883.4176,2458651466.88,71536757.3251199,4535989471.296,22192819675.776,278874085.75488,456167847.2256,772719032.448001
"82",70713333.09792,6188980451.25889,21209287985.5392,2276473635.072,1095364729.2672,1363729159.296,21945517.16832,3008145313.8432,16712554824.6566,192624692.1984,235969529.4432,428600592.921599
"83",50346145.090368,4137463562.66496,18004887879.0048,3505223404.8,783511104.079872,1199547899.8272,21159974.023488,2011008392.2944,14187542551.8681,296595826.56,168788296.357632,377000768.517119
"84",54639281.7561599,4200006391.776,20873492221.6512,1890408726.8352,2410383736.96512,1681876732.4352,22964335.81056,2067695454.4128,16447953527.447,159957661.50144,519258198.654719,528589830.193919
"85",183343699.59264,6450240547.29601,17657928613.152,5953832205.29281,2188200298.08131,1393378547.904,77057496.9302401,2580096218.9184,13914144606.7584,379291473.0432,471394213.150495,437918972.198401
"86",657317312.064,13430140892.064,36850244943.168,4581668796.50305,3445852045.96224,1729137358.368,276263797.824,4931272245.49632,29037360392.9856,291877205.62176,742324509.90144,543443169.772799
"87",268244548.02432,20443039370.2081,40338529917.8112,3633084749.38176,3796376425.25184,2813480792.64,112740462.21312,7506264712.34306,11845680240.7901,231447245.86944,817836410.759041,884236820.544
"88",188542995.3792,20480536646.6688,38341092861.6192,2626087390.24781,1865299481.77306,1443122443.92959,94271497.6895998,5558205585.85344,11259119433.6173,167296040.641152,592827893.808193,453552768.092158
"89",281904164.582401,14130010199.2896,16203315948.0192,2568685715.17056,1495430143.02719,1217982816.2304,140952082.2912,3834738462.80448,4758212556.37728,163639241.93664,475276335.350398,318336417.8784
"90",371328392.448,12789719704.8576,29321652003.6096,2588569613.55648,2097741799.24993,1346349938.50368,185664196.224,3470997500.28288,8610500047.32865,164905954.34112,666702513.325442,351886915.74528
"91",64548711.9360001,15886386223.8144,64036145008.5119,4497231996.42739,1673279582.0544,1622712210.83136,32274355.968,3722695409.3952,18804644075.2608,286498122.507648,531800292.700799,424117964.194561
"92",207859696.9344,10167007497.6413,76355437941.504,6042960907.7069,2136229579.84811,1483548776.20224,103929848.4672,5078213942.6304,22422287186.5536,384969455.838721,678934666.999597,387745702.87104
"93",126857791.5264,15119177184.7459,143575734619.008,6419534035.9104,1950191925.21216,1850744705.472,59200302.71232,4892886685.17792,42161978785.5072,408959210.9376,619808337.933119,348375473.971201
"94",94142542.9824001,9364479845.55552,80106480619.776,3972942433.63583,1054562848.26624,2614407600.528,43933186.7251201,3800361227.6448,23523806062.5984,253098027.624959,335160266.93568,492123783.628799
"95",121200094.8864,6593080108.54463,47958432984.1152,3471658890.11711,838498777.620481,1370764675.41575,56560044.2803201,2675651656.9536,14083315954.6637,221163541.217279,266490967.88736,258026291.842964
