eventName,eventYear,region,originalGridCode,monitoringProgramme,programmeName,occurredBefore,occurredBeforeText,waterDiscoloration,highPhyto,seafoodToxin,massMortal,foamMucil,otherEffect,otherEffectText,days,months,locationText,latitude,longitude,additionalLocationInfo,eventDate,initialDate,finalDate,quarantineStartDate,quarantineEndDate,additionalDateInfo,causativeKnown,pigmentAnalysisInfo,additionalAlgaeInfo,toxicityDetected,toxicityRange,humansAffected,fishAffected,naturalFishAffected,aquacultureFishAffected,planktonicAffected,benthicAffected,shellfishAffected,birdsAffected,otherTerrestrialAffected,aquaticMammalsAffected,seaweedAffected,effectsComments,unexplainedToxicity,toxicityComments,transvectors,eventBiblio,syndromeText,active,created_at,updated_at,checked_at,countryName,syndromeName,speciesContaining,additionalHarmfulEffectInfo,toxinAssayComments,assaytype,concentration,toxinType,toxin,causativeSpeciesName0,cellsPerLitre0,comments0,additionalSpeciesName0,additionalCellsPerLitre0,additionalComments0,causativeSpeciesName1,cellsPerLitre1,comments1,causativeSpeciesName2,cellsPerLitre2,comments2,causativeSpeciesName3,cellsPerLitre3,comments3,additionalSpeciesName1,additionalCellsPerLitre1,additionalComments1,additionalSpeciesName2,additionalCellsPerLitre2,additionalComments2
ZAF-97-003,1997,West Coast,,0,,1,1958,0,0,1,0,0,0,,0,0,West Coast,-33.0625,17.934722,General West Coast area,1/1/1997,1/1/1997,8/31/1997,3/1/1997,8/1/1997,,1,,Highest concentration of 2600µg toxin/ 100g mussel tissue recorded during May.,1,>80µg/ 100g mussel tissue,1,0,0,0,0,0,0,0,0,0,0,,0,,"White mussels, Donax serra and black mussels, Mytilus galloprovincialis","PITCHER, G.C. and  A. C. COCKROFT 1998 - Low oxygen, rock lobster strandings and PSP.  In Harmful Algae News, ed, T. Wyatt, Intergovernmental Oceanographic Commission of UNESCO, 17: 1-3",,,1/11/2019 2:36,1/14/2019 8:42,,SOUTH AFRICA,PSP,,,,,,,,Alexandrium catenella,,cells/L not given in this record,Ceratium furca,20000000,by April 1997 - dominant species,,,,,,,,,,Dinophysis acuminata,,cells/L not given in this record,,,
ZAF-80-001,1980,West Coast,,0,,1,"in 1967, 1968, 1974",1,1,0,0,0,0,,0,0,Elands Bay,-32.311667,18.331667,,3/4/1980,3/4/1980,5/31/1980,,,,1,,,1,,0,0,0,0,0,1,1,1,0,0,0,,0,,Choromytilus meridionalis and Donax serra,"HORSTMAN, D.A. 1981 – Reported red-water outbreaks and their effects on fauna of the west and south coasts of South Africa, 1959-1980. Fish. Bull. S. Afr. 15: 71-88.",,,9/28/2017 11:58,4/23/2018 9:12,,SOUTH AFRICA,PSP,,,,,,,,Alexandrium catenella,23 x 10e6,Reported as Gonyaulax catenella,,,,,,,,,,,,,,,,,,
ZAF-78-002,1978,"West Coast, South Africa",,0,,1,1969 account by Grindley and Sapeika,0,0,1,1,0,0,,0,0,Jutten Bay,-33.0725,17.936944,Mussels affected from Lamberts Bay to Walker Bay with highest toxicity at Jutten Bay,5/1/1978,5/10/1978,8/1/1978,5/10/1978,,,1,,,1,49µg/100g - 7283µg/100g,0,0,0,0,0,0,1,1,0,0,0,,0,,"Black mussels, Choromytilus meridionalis","POPKISS, M. E. E., HORSTMAN, D. A. and D. HARPUR 1979 - Paralytic Shellfish Poisoning. S. Afr. Med. J. 55: 1017-1023.",,,1/11/2019 8:22,1/11/2019 10:08,,SOUTH AFRICA,PSP,,,,,,,,Gonyaulax catenella,,cell/L not given in this record,,,,,,,,,,,,,,,,,,
ZAF-74-001,1974,West Coast,,0,,1,1966 atributed to A. catenella,1,0,0,0,0,0,,0,0,Elands Bay,-32.314167,18.335556,,,9/1/1974,9/30/1974,,,,1,,,1,,0,0,0,0,0,0,1,0,0,0,0,,0,,Choromytilus meridionalis and Donax serra,"HORSTMAN, D.A. 1981 – Reported red-water outbreaks and their effects on fauna of the west and south coasts of South Africa, 1959-1980. Fish. Bull. S. Afr. 15: 71-88.",,,9/27/2017 5:19,4/23/2018 9:15,,SOUTH AFRICA,PSP,,,,,,,,Protoceratium reticulatum,2 x 10e6,reported as Gonyaulax grindleyi,Prorocentrum micans,,,,,,,,,,,,,,,,,
ZAF-68-001,1968,,,0,,1,,1,0,0,0,0,0,,0,0,,,,,,,,,,,0,,,1,,0,0,0,0,0,0,0,0,0,0,0,,NULL,,,"GRINDLEY, J.R. and N. SAPEIKA 1969 - The cause of mussel poisoning in South Africa. S. Afr. Med. J. 43: 275 - 279",,,1/23/2019 1:48,,,SOUTH AFRICA,PSP,,,,,,,,Gonyaulax catenella Whedon et Kofoid 1936,,,,,,,,,,,,,,,,,,,,
ZAF-67-001,1967,West Coast,,0,,0,,1,0,0,0,0,0,,0,0,Elands Bay to Olifants River,-31.931389,18.161667,,,12/28/1967,1/28/1968,,,,1,,,1,,0,0,0,0,0,1,1,1,0,0,0,,0,,Choromytilus meridionalis and Donax serra,"HORSTMAN, D.A. 1981 – Reported red-water outbreaks and their effects on fauna of the west and south coasts of South Africa, 1959-1980. Fish. Bull. S. Afr. 15: 71-88.",,,9/28/2017 10:34,1/23/2019 1:14,,SOUTH AFRICA,PSP,,,,,,,,Alexandrium catenella,40 x 10e6,Reported as Gonyaulax catenella,,,,,,,,,,,,,,,,,,
ZAF-07-001,2007,West Coast,,0,,NULL,,0,1,0,0,0,0,,0,0,Lamberts Bay,-32.039167,18.26,"Mooring station 3.5km offshore of Lambert\'s Bay, within the St Helena Bay region.",,3/20/2007,4/11/2007,,,20 March-11 April -2 upwelling periods occur,1,38 - 63,"An increase in phytoplankton biomass was associated with the onset of each period of downwelling, depicted by subsurface chlorophyll-a maxima of 38µg/L (on 22 March) 63µg/L (on 29 March). The extended period of stratification during the later stages of the study, from 3 to 11 April, was distinguished by low phytoplankton biomass depicted by chlorophyll-a concentrations less than 5µg/L.",1,0.5 - 11.7 mg STX eq kg-1,0,0,0,0,0,0,1,0,0,0,0,,0,,,"HUBBART, B., PITCHER, G.C., KROCK, B. and A.D. CEMBELLA 2012 – Toxigenic phytoplankton and concomitant toxicity in the mussel Choromytilus meridionalis off the west coast of South Africa. Harmful Algae, 20: 30-41.",,,4/20/2018 12:08,4/23/2018 12:34,,SOUTH AFRICA,PSP,Alexandrium catenella,,,"Four different assays were carried out (LC-FD, ELISA, RBA and MBA) to test for PSP. Results and bias are compared in this study.",LC-UV,4.8x10e7 pgSTX eqL-1,Saxitoxins,Alexandrium catenella,6.1x10e5,at 5m on 22 March,Dinophysis acuminata,8.3x10e4,at 5m on 25 March,,,,,,,,,,Pseudo-nitzschia spp.,1.2x10e6,at 5m on 29 March,,,
ZAF-03-001,2003,South Africa,,0,,0,,1,1,0,0,0,0,,0,0,Cape Town Harbour,-33.913056,18.435556,,,11/14/2003,2/13/2004,,,Sampling initiated on 25 November 2003.,1,243,This was a first record of Alexandrium minutum in South African waters.,1,,0,0,0,0,0,0,0,0,0,0,0,,NULL,,,"PITCHER, G.C., CEMBELLA, A.D. JOYCE, L.B., LARSEN, J., PROBYN, T.A. and C. RUIZ SEBASTIAN 2007 – The dinoflagellate Alexandrium minutum in Cape Town harbour (South Africa): Bloom characteristics, phylogenetic analysis and toxin composition. Harmful Algae 6: 823-836.",,,4/25/2018 9:59,4/25/2018 11:36,,SOUTH AFRICA,PSP,Alexandrium minutum,,,The composition of PSP toxins from Cape Town harbour was characterised by the presence of only gonyautoxins (GTX1-GTX4).,LC-UV,1.5 fmol GTX/cell,Saxitoxins,Alexandrium minutum,1.4x10e8,reached during mid-December period,Scrippsiella trochoidea,6.3x10e5,,,,,,,,,,,,,,,,
ZAF-00-001,2000,"West Coast, South Africa",,0,,1,1967,0,0,0,1,0,0,,0,0,Bloubergstrand,-33.828333,18.474167,Mussels from Scarborough on Cape Peninsula also toxic.,5/31/2000,,,5/31/2000,,,1,,,1,4x higher than level acceptable for human consumption,1,0,0,0,0,0,1,0,0,0,0,2 Humans hospitalised despite ban on shellfish collection,0,,mussels,"PITCHER, G.C. 2000 – Mortality of Otter Shells at Bloubergstrand. African Wildlife 54 (5) 26-27.",,,1/15/2019 10:01,1/15/2019 10:04,,SOUTH AFRICA,PSP,,,,,,,,Alexandrium catenella,,cell/L not given in this record,,,,,,,,,,,,,,,,,,
VE-91-001,1991,,,0,,1,,1,0,1,0,0,0,,0,0,Margarita Island,,,Manzanillo beach and Guayacan beach,8/1/1991,8/28/1991,10/15/1991,8/28/1991,11/28/1991,,1,,"El análisis microscópico del agua en la proximidad de los bancos de mejillones se mostró la presencia de Gymnodinium catenatum y Alexandrium tamarense; a concentraciones de &#8804; 20 células / ml. Un miembro del género Cochlodinium sp. también se detectó a muy bajas densidades. Las diatomeas más abundantes fueron: Cyclotella sp., Navicula sp., Nitzschia seriata y Rhizosolenia delicatula, mientras que los dinoflagelados más abundante fueron Ceratium furca, Dinophysis cf. acuminata, Gonyaulax polygramma, Prorocentrum gracilis y Polykrikos polikrikoides. En ambos lugares,  Prorocentrum gracile fue la especie dominante, y su densidad indicó que era el principal formador de la floración.",1,,1,0,0,0,0,0,0,0,0,0,0,,0,,Perna perna,"La Barbera-Sánchez, A., Franco Soler, J., Rojas de Astudillo, L. y Chang-Yen, I. 2004. Paralytic Shellfish Poisoning (PSP) in Margarita Island, Venezuela. Rev. Biol. Trop. 52(Suppl. 1): 89-98.",,,10/28/2015 6:15,10/29/2015 4:49,,VENEZUELA,PSP,,,,"A high liquid chromatographic (HPLC) procedure was recently used on the 1991 samples. The major toxin detected in samples of both locations was decarbamoyl saxitoxin (dcSTX), but low concentrations of saxitoxin were also found in Manzanillo samples. Gonyautoxins GTX1, GTX2 and GTX3 were detected only at Guayacán, while in both locations, decarbamoylgonyatouxin (dcGTX2,3) toxins were detected.",LC-UV,2548 µg STX,Saxitoxins,Alexandrium tamarense (Lebour) Balech 1985,20 cell/ml.,,Gymnodinium catenatum Graham 1943,,,,,,,,,,,,,,,,,
