"","SVM","RVM","ANN","NB"
"Trial.1",0.52173913,0.782608696,0.434782609,0.869565217
"Trial.2",0.285714286,0.657142857,0.142857143,0.628571429
"Trial.3",0.255319149,0.510638298,0.255319149,0.595744681
"Trial.4",0.23255814,0.558139535,0.046511628,0.581395349
"Trial.5",0.161290323,0.35483871,0.322580645,0.580645161
"Trial.6",0.333333333,0,0.333333333,0
"Trial.7",0.866666667,0.866666667,0.333333333,0.8
"Trial.8",0.5,0.857142857,0.428571429,0.607142857
"Trial.9",0.464285714,0.785714286,0.357142857,0.928571429
"Trial.10",0.184615385,0.6,0.323076923,0.476923077
"Avg",0.3805522127,0.5972891906,0.2977509049,0.60685592
