"","SVM","NB","RVM","NET_AIC","NET_BIC"
"1",795,NA,12,1810.02512768487,6200.74574231035
"2",803,NA,9,1809.05381726402,6199.7744318895
"3",759,NA,9,1810.032291904,6199.81971121043
"4",764,NA,12,1814.03701270142,6204.7576273269
"5",798,NA,7,1812.04152773254,6202.76214235802
"6",815,NA,12,1809.03020783437,6199.75082245985
"7",815,NA,7,1812.03430086988,6202.75491549536
"8",798,NA,8,1811.04419555478,6200.83161486121
"9",777,NA,8,1811.10581166592,6201.8264262914
"10",778,NA,8,1809.03122102995,6199.75183565543
