"","SVM","NB","RVM","NET_AIC","NET_BIC"
"1",728,NA,128,1818.02669655469,6927.92288834946
"2",721,NA,141,1817.02301160117,6904.81809528003
"3",715,NA,128,1813.05467190407,6883.03340463812
"4",701,NA,124,1826.02817581632,6901.69423017763
"5",701,NA,134,1824.02954947784,6920.38933643143
"6",764,NA,124,1814.05322650396,6956.92656668774
"7",705,NA,109,1820.04042261015,6943.27265805726
"8",744,NA,108,1820.02375422781,6921.05965453183
"9",729,NA,102,1821.03722731409,6922.4970278847
"10",682,NA,133,1829.04035839036,6865.48756086694
