"","SVM","NB","RVM","NET_AIC","NET_BIC"
"1",509,NA,24,1816.03064224154,6621.08437820376
"2",524,NA,18,1808.04200533277,6609.55546169095
"3",520,NA,18,1810.04028475775,6615.68271724532
"4",536,NA,15,1815.03480507089,6622.4410227873
"5",509,NA,23,1812.06711854818,6618.29786316896
"6",524,NA,18,1816.03714213568,6633.95417250527
"7",537,NA,20,1814.03544733247,6626.12828159754
"8",556,NA,19,1824.05013825749,6637.89418784548
"9",574,NA,13,1814.04043699075,6627.30112624759
"10",537,NA,21,1817.04232027419,6632.63418806305
