"","SVM","NB","RVM","NET_AIC","NET_BIC"
"1",592,NA,139,1819.02303689739,6624.07677285961
"2",560,NA,132,1812.04017983911,6613.55363619729
"3",558,NA,146,1820.03785591703,6625.6802884046
"4",558,NA,117,1815.03847919927,6622.44469691568
"5",536,NA,164,1813.04416945509,6619.27491407587
"6",545,NA,131,1811.04146308305,6628.95849345264
"7",565,NA,144,1821.03180398085,6633.12463824592
"8",566,NA,143,1812.06023890071,6625.9042884887
"9",557,NA,129,1813.0510745253,6626.31176378214
"10",575,NA,131,1819.0639200279,6634.65578781676
