"","Real","SVM","NB","RVM","NET"
"1",0,0,1,1,0
"2",0,0,0,0,0
"3",1,1,1,0,0
"4",0,0,1,0,0
"5",1,0,1,1,1
"6",0,0,1,0,1
"7",0,0,1,1,0
"8",0,0,0,0,0
"9",0,0,0,0,1
"10",0,0,1,0,1
"11",0,0,1,1,0
"12",0,1,0,0,0
"13",1,1,1,1,1
"14",0,1,1,1,1
"15",0,0,0,0,1
"16",0,0,1,0,0
"17",0,1,1,1,0
"18",0,0,0,0,0
"19",0,0,0,0,0
"20",0,0,0,0,0
"21",0,0,0,0,0
"22",1,1,1,1,1
"23",1,1,1,0,1
"24",0,0,0,1,0
"25",1,0,0,0,0
"26",1,1,1,1,0
"27",0,0,1,1,0
"28",1,0,1,0,1
"29",0,0,1,0,0
"30",1,1,0,0,1
"31",0,0,0,0,0
"32",0,0,0,0,0
"33",0,0,1,1,1
"34",1,1,1,1,1
"35",1,1,1,1,1
"36",0,0,0,0,1
"37",0,0,0,1,0
"38",0,0,1,0,0
"39",0,0,1,0,1
"40",0,0,1,1,1
"41",0,0,0,1,1
"42",0,0,0,0,0
"43",0,0,0,0,0
"44",1,1,1,0,0
"45",1,1,0,0,1
"46",0,1,0,0,0
"47",0,0,0,0,0
"48",0,0,1,0,0
"49",0,0,1,0,0
"50",0,0,0,0,0
"51",1,0,1,0,0
"52",0,0,0,0,0
"53",1,1,1,1,1
"54",0,0,0,0,0
"55",1,1,1,1,1
"56",0,0,1,0,0
"57",0,0,0,0,0
"58",1,0,1,1,1
"59",1,1,0,0,1
"60",0,0,0,0,0
"61",0,0,1,1,1
"62",0,0,0,0,1
"63",0,0,1,0,0
"64",0,1,1,1,0
"65",0,0,0,0,0
"66",1,1,1,1,1
"67",0,0,1,0,0
"68",0,0,1,0,0
"69",1,0,1,0,1
"70",0,0,0,0,1
"71",0,0,0,0,0
"72",0,0,0,0,0
"73",0,1,1,1,0
"74",0,0,0,0,0
"75",1,1,1,1,0
"76",1,1,1,1,1
"77",1,1,1,1,1
"78",0,1,0,0,0
"79",1,0,1,1,1
"80",0,1,1,1,1
"81",1,1,1,0,1
"82",0,0,1,0,0
"83",1,1,0,0,0
"84",0,1,1,1,0
"85",0,0,1,0,0
"86",0,0,0,0,0
"87",0,0,1,0,0
"88",1,0,0,0,0
"89",0,0,0,0,1
"90",0,0,1,0,0
"91",0,0,1,0,0
"92",0,0,1,0,0
"93",0,0,0,0,0
"94",0,0,1,1,1
"95",0,0,0,0,0
"96",0,0,1,1,0
"97",0,0,1,0,0
"98",1,1,1,1,1
"99",0,0,1,0,0
"100",0,0,0,0,1
"101",0,0,0,1,0
"102",0,0,0,0,0
"103",1,1,1,1,1
"104",0,0,1,1,1
"105",1,1,1,1,0
"106",1,1,0,0,0
"107",0,0,0,0,0
"108",0,0,1,1,1
"109",1,1,1,0,0
"110",0,0,0,1,1
"111",0,0,1,0,0
"112",1,0,0,0,1
"113",0,0,1,0,1
"114",0,0,1,1,0
"115",0,0,1,1,1
"116",0,1,0,0,1
"117",0,0,1,1,1
"118",1,0,0,0,0
"119",0,0,1,1,0
"120",0,1,1,0,0
"121",0,0,0,0,0
"122",0,0,1,0,0
"123",1,0,1,1,0
