"","Date","Real","SVM","NB","RVM","NET"
"1","2016-12-22","1","1","1","1","0"
"2","2017-06-01","0","0","0","0","0"
"3","2003-12-04","0","0","1","1","0"
"4","2015-03-12","0","0","1","0","0"
"5","2011-04-28","0","1","0","1","1"
"6","2008-10-16","0","0","1","0","0"
"7","2013-03-21","0","0","0","0","0"
"8","2000-10-05","1","0","1","1","0"
"9","2011-07-28","0","0","1","0","0"
"10","2012-07-19","0","0","1","0","0"
"11","2007-06-28","0","0","1","0","0"
"12","2012-10-18","1","1","1","1","1"
"13","2017-03-02","1","1","1","1","1"
"14","2003-03-27","1","0","1","0","0"
"15","2007-07-19","0","0","1","0","0"
"16","2017-03-23","1","1","1","1","1"
"17","2017-12-21","1","1","1","1","1"
"18","2000-05-25","0","0","0","0","0"
"19","2007-10-11","1","0","1","0","0"
"20","2009-06-25","0","0","0","0","0"
"21","2016-05-26","0","0","1","0","0"
"22","2000-10-19","0","1","0","0","1"
"23","2018-02-01","0","0","1","0","0"
"24","2018-06-07","1","1","1","1","1"
"25","1999-09-02","0","1","0","0","0"
"26","2008-06-26","0","0","1","0","0"
"27","2005-11-17","0","1","1","1","1"
"28","2016-04-28","0","0","0","0","0"
"29","2007-02-15","0","1","0","1","1"
"30","2014-11-20","1","0","1","1","1"
"31","2012-11-29","0","1","1","1","1"
"32","2014-05-15","0","0","1","0","0"
"33","2005-10-20","0","0","1","1","0"
"34","2011-10-27","1","1","1","1","0"
"35","1998-01-29","0","0","1","0","1"
"36","2014-09-25","0","0","1","0","0"
"37","1998-02-19","0","0","0","0","0"
"38","2002-03-07","1","0","1","0","0"
"39","2016-02-25","0","0","1","1","0"
"40","2010-04-15","0","0","1","1","0"
"41","2005-07-28","1","1","1","1","1"
"42","2006-10-12","1","0","1","1","0"
"43","1998-10-01","0","0","1","0","1"
"44","2017-05-18","0","0","0","0","0"
"45","2006-09-07","1","0","1","0","1"
"46","2017-01-12","1","1","1","1","1"
"47","2015-08-20","0","0","1","0","0"
"48","2010-09-30","0","0","1","0","0"
"49","2017-03-30","1","0","0","0","0"
"50","2010-04-22","0","0","0","0","0"
"51","2004-08-05","0","0","1","0","0"
"52","2004-11-04","0","0","1","0","0"
"53","2005-11-03","1","1","1","1","1"
"54","2013-07-04","0","0","1","0","0"
"55","1998-10-08","0","1","1","1","1"
"56","2012-10-11","1","1","1","1","1"
"57","2011-05-12","0","0","0","0","0"
"58","2001-05-17","0","0","0","0","0"
"59","2003-02-20","0","0","1","0","0"
"60","2008-02-28","0","0","0","0","0"
"61","2011-04-14","0","0","0","0","1"
"62","2018-04-12","1","1","1","1","1"
"63","2012-11-15","1","1","1","1","1"
"64","2009-02-19","0","0","0","0","0"
"65","2014-08-07","0","1","1","0","1"
"66","2001-09-13","1","0","0","0","1"
"67","2003-04-17","1","0","1","0","0"
"68","2014-02-20","0","1","1","1","1"
"69","2011-07-07","0","0","1","0","0"
"70","2002-09-05","1","1","1","0","0"
"71","1998-11-05","0","1","1","1","1"
"72","2000-09-14","0","0","1","0","0"
"73","2002-03-14","0","0","1","0","0"
"74","2007-05-10","0","0","0","0","0"
"75","2001-11-01","1","1","1","1","1"
"76","2011-12-01","1","1","1","1","1"
"77","2018-01-11","0","1","1","1","0"
"78","2005-03-17","1","1","1","1","1"
"79","2007-12-20","0","0","0","0","0"
"80","1998-01-08","1","0","1","0","0"
"81","2009-03-26","0","0","0","0","0"
"82","2001-01-11","0","0","0","0","0"
"83","2004-11-11","0","0","1","0","0"
"84","2010-06-03","0","0","0","0","0"
"85","2017-07-13","0","0","1","0","0"
"86","2008-10-30","0","0","1","0","0"
"87","2002-06-20","1","0","1","0","0"
"88","1999-09-16","0","0","1","0","1"
"89","1999-08-19","0","1","1","0","1"
"90","2003-10-23","0","0","1","1","1"
"91","2017-10-26","0","0","1","1","1"
"92","1998-01-01","0","0","1","0","0"
"93","2001-12-20","1","1","1","1","1"
"94","2015-09-10","0","0","1","0","0"
"95","2015-07-16","0","0","0","0","0"
"96","2017-04-13","0","0","0","0","1"
"97","2004-04-15","0","0","1","0","0"
"98","2007-10-18","1","1","0","0","0"
"99","2012-01-26","0","1","0","0","1"
"100","2009-09-24","0","0","1","1","0"
"101","2009-11-05","1","0","0","1","1"
"102","2002-02-07","1","1","1","1","1"
"103","2002-01-31","1","1","1","1","1"
"104","2005-04-14","0","0","1","0","0"
"105","2015-09-03","0","0","1","0","0"
"106","2016-01-07","1","0","1","1","0"
"107","2011-11-17","1","1","1","1","0"
"108","2011-09-29","1","1","1","1","1"
"109","2008-01-31","0","0","0","0","0"
"110","1998-01-15","1","0","0","1","0"
"111","2009-05-28","0","0","0","0","0"
"112","2013-08-08","0","0","1","0","0"
"113","2012-01-05","1","1","0","1","1"
"114","2006-06-01","0","0","0","0","0"
"115","2008-01-03","0","0","0","0","0"
"116","2008-01-10","0","0","0","0","0"
"117","2017-03-16","1","1","1","1","1"
"118","2004-07-29","0","0","1","0","0"
"119","2009-05-14","0","0","1","1","1"
"120","2013-04-25","0","0","1","0","0"
"121","2004-07-22","0","0","1","0","0"
"122","2005-07-14","1","1","0","1","1"
"123","2008-08-14","0","0","0","0","0"
"124","2008-11-27","0","0","0","0","1"
"125","2011-03-31","0","0","1","0","0"
"126","2005-03-24","0","1","0","1","0"
"127","2014-11-06","1","1","1","1","0"
"128","2015-08-13","0","0","0","0","1"
"129","2002-04-11","1","0","1","1","1"
"130","2011-04-07","0","0","0","0","0"
"131","2014-07-03","0","0","1","0","0"
"132","2009-01-22","0","0","0","0","0"
"133","2009-07-23","0","0","1","0","0"
"134","2015-01-22","0","0","0","0","0"
"135","2013-06-20","0","0","1","0","0"
"136","2008-07-31","0","0","0","0","0"
"137","2018-02-22","1","1","1","1","1"
"138","2000-01-20","1","1","0","1","0"
"139","2011-11-10","0","1","1","1","1"
"140","2009-04-30","0","0","0","0","0"
"141","2000-08-31","0","0","0","0","0"
"142","1999-06-10","0","0","1","0","0"
"143","2006-05-18","0","0","0","0","0"
"144","2012-01-19","0","1","0","1","1"
"145","2011-03-24","0","0","0","0","0"
"146","2012-09-13","0","0","1","1","1"
"147","2001-01-18","0","0","0","0","0"
"148","2014-12-04","0","0","1","0","0"
"149","2003-04-03","1","1","1","1","1"
"150","2000-08-24","0","0","1","0","0"
"151","2010-11-18","0","0","0","0","0"
"152","2003-10-09","0","0","1","0","0"
"153","2016-11-24","1","1","1","1","1"
"154","2004-12-30","0","1","1","1","1"
"155","2010-02-11","0","0","1","0","0"
"156","2018-04-19","1","1","1","1","1"
"157","2001-05-03","0","0","0","0","0"
"158","1998-07-09","0","0","0","0","0"
"159","2018-05-24","0","0","1","0","0"
"160","2010-01-28","0","0","1","0","0"
"161","2014-07-10","0","0","1","0","0"
"162","2016-11-10","1","1","1","1","1"
"163","2008-09-04","0","0","1","0","1"
"164","2001-06-21","0","0","0","0","0"
"165","2018-07-12","1","1","1","1","1"
"166","2001-03-01","0","0","0","0","0"
"167","2005-11-24","1","1","0","1","0"
"168","2003-07-24","1","0","1","0","1"
"169","2000-01-13","1","1","1","1","1"
"170","2001-04-05","0","0","0","0","0"
"171","2010-10-14","0","0","1","0","0"
"172","2005-03-03","1","0","1","0","1"
"173","2017-10-19","0","0","1","0","0"
"174","2015-12-31","1","0","1","0","0"
"175","2005-06-02","1","0","1","0","0"
"176","2000-05-11","0","0","0","0","0"
"177","2012-05-03","0","0","0","0","0"
"178","2008-05-01","0","0","0","0","0"
"179","2011-10-13","1","1","1","1","0"
"180","2011-05-05","0","0","0","0","0"
"181","2013-11-14","1","0","1","1","0"
"182","2016-02-11","1","0","0","1","0"
"183","2003-06-19","1","1","0","0","1"
"184","2017-01-26","1","1","0","1","1"
"185","2010-10-21","0","0","0","0","1"
"186","2015-11-05","1","1","1","1","1"
"187","2013-10-10","0","0","1","1","1"
"188","2011-08-18","0","0","1","0","1"
"189","2000-04-06","0","0","0","0","0"
"190","2002-12-05","1","0","1","0","0"
"191","2001-04-26","0","0","0","0","0"
"192","2011-06-02","0","0","0","0","0"
"193","2000-03-09","1","0","0","0","0"
"194","2015-01-15","0","0","1","0","0"
"195","1999-03-25","0","0","0","0","0"
"196","1998-11-26","1","0","1","1","0"
"197","2007-02-08","1","1","1","1","1"
"198","1999-11-25","0","1","1","1","1"
"199","2010-08-19","0","0","0","0","0"
"200","2017-02-16","1","1","1","1","1"
"201","2012-12-20","1","1","0","1","0"
"202","2006-10-19","1","1","0","1","0"
"203","2012-05-24","0","0","0","0","1"
"204","2005-06-09","1","0","0","1","0"
"205","2015-11-12","1","1","1","1","1"
"206","2005-05-26","1","0","1","0","0"
"207","2014-04-03","0","0","0","0","0"
