"","Date","Real","SVM","NB","RVM","NET"
"1","2008-11-27","0","1","0","0","0"
"2","2004-03-11","0","0","1","1","0"
"3","2010-04-22","0","0","0","0","0"
"4","1998-12-10","1","1","1","1","1"
"5","1998-06-18","0","0","0","0","0"
"6","2004-11-11","0","0","1","1","0"
"7","2001-03-08","0","0","0","0","0"
"8","2010-01-28","0","0","1","0","0"
"9","2005-11-24","1","1","1","0","0"
"10","2015-05-21","0","0","0","0","0"
"11","2009-09-03","0","0","1","1","1"
"12","2016-01-07","1","0","1","1","1"
"13","2017-04-06","0","0","1","1","1"
"14","2010-01-21","0","0","0","0","0"
"15","2014-08-21","0","1","1","0","1"
"16","2003-01-02","1","0","1","1","1"
"17","2007-05-17","0","0","0","0","0"
"18","2018-08-23","1","1","1","1","1"
"19","2003-10-09","0","1","1","1","1"
"20","2005-10-27","1","1","1","1","1"
"21","2004-01-22","1","0","1","1","0"
"22","2014-03-06","0","0","1","1","0"
"23","2016-12-22","1","0","1","1","1"
"24","2000-10-19","0","0","0","0","0"
"25","2001-10-25","1","1","1","1","1"
"26","2002-05-16","0","0","0","0","0"
"27","2007-10-25","1","1","1","1","1"
"28","2017-01-05","1","1","1","1","1"
"29","2012-02-02","0","0","0","0","0"
"30","2016-04-07","0","1","1","0","0"
"31","2015-10-29","1","1","1","0","0"
"32","2010-02-25","0","0","1","0","0"
"33","2003-01-23","0","1","1","1","0"
"34","2005-07-07","1","1","1","1","1"
"35","2000-06-29","0","0","0","0","0"
"36","2017-11-02","0","0","1","1","1"
"37","2005-03-17","1","0","1","1","1"
"38","2012-11-29","0","1","1","1","1"
"39","2017-08-10","0","0","1","1","1"
"40","2011-07-14","0","0","1","0","0"
"41","2010-08-12","0","0","0","0","0"
"42","1998-10-08","0","1","1","1","0"
"43","2008-01-24","0","0","1","0","0"
"44","1998-08-20","0","1","1","1","1"
"45","2018-03-01","1","1","1","1","1"
"46","1999-12-23","1","1","1","1","1"
"47","2000-02-03","1","1","1","1","1"
"48","2017-05-11","0","0","0","0","0"
"49","1999-06-17","0","0","1","1","0"
"50","2016-12-08","1","0","1","1","1"
"51","2013-01-17","1","1","1","1","1"
"52","2007-07-26","0","0","0","0","0"
"53","2008-08-21","0","0","0","0","0"
"54","2012-03-15","0","0","0","0","0"
"55","1998-04-16","0","0","1","1","0"
"56","2004-11-18","0","0","1","1","1"
"57","2012-03-08","0","0","0","0","0"
"58","2002-10-17","0","0","1","1","1"
"59","2017-06-08","0","1","1","0","1"
"60","2004-04-08","0","0","0","0","0"
"61","2017-02-02","1","1","1","1","1"
"62","2010-03-25","0","1","1","1","1"
"63","2010-06-17","0","0","1","0","0"
